,name,mkdocs_plugin,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,markdown_extension,trending,mkdocs_theme,extra_dependencies,license,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,pypi,bitbucket_id
102,mkdocs_puml,plantuml,MikhailKravets/mkdocs_puml,mkdocs-puml,['plugin'],charts,{},81.0,81.0,10.0,https://pypi.org/project/mkdocs-puml,,,,3,True,2.0,,,,,,,,,,,,,,,,,,,,,
103,build-plantuml,build_plantuml,quantorconsulting/mkdocs_build_plantuml,mkdocs-build-plantuml-plugin,['plugin'],charts,{},147.0,147.0,14.0,https://pypi.org/project/mkdocs-build-plantuml-plugin,,,,3,True,2.0,,,,,,,,,,,,,,,,,,,,,
104,mkdocs-diagrams,diagrams,zoni/mkdocs-diagrams,mkdocs-diagrams,['plugin'],charts,{},87.0,87.0,,https://pypi.org/project/mkdocs-diagrams,,,,3,True,2.0,,,,,,,,,,,,,,,,,,,,,
105,Lightgallery,,g-provost/lightgallery-markdown,lightgallery,['markdown'],charts,{},110.0,110.0,6.0,https://pypi.org/project/lightgallery,,,,3,True,2.0,lightgallery,,,,,,,,,,,,,,,,,,,,
106,Markdown blockdiag,,gisce/markdown-blockdiag,markdown-blockdiag,['markdown'],charts,{},149.0,149.0,5.0,https://pypi.org/project/markdown-blockdiag,,,,3,True,2.0,markdown_blockdiag,,,,,,,,,,,,,,,,,,,,
107,markdown-captions,,Evidlo/markdown_captions,markdown-captions,['markdown'],charts,{},197.0,197.0,2.0,https://pypi.org/project/markdown-captions,,,,3,True,2.0,markdown_captions,,,,,,,,,,,,,,,,,,,,
108,Interactive Graph,obsidian-interactive-graph,daxcore/mkdocs-obsidian-interactive-graph-plugin,mkdocs-obsidian-interactive-graph-plugin,['plugin'],charts,{},53.0,53.0,4.0,https://pypi.org/project/mkdocs-obsidian-interactive-graph-plugin,,,,3,True,2.0,,,,,,,,,,,,,,,,,,,,,
109,panzoom,panzoom,PLAYG0N/mkdocs-panzoom,mkdocs-panzoom-plugin,['plugin'],charts,{},81.0,81.0,7.0,https://pypi.org/project/mkdocs-panzoom-plugin,,,,3,True,2.0,,,,,,,,,,,,,,,,,,,,,
110,codeyaml,codeyaml,textileio/mkdocs-codeyaml-plugin,mkdocs-codeyaml-plugin,['plugin'],code-exec-templating,{},2.0,2.0,,https://pypi.org/project/mkdocs-codeyaml-plugin,65.0,65.0,,3,True,3.0,,,,,MIT,,,,,,,,,,,,,,,,
111,document-dates,document-dates,jaywhj/mkdocs-document-dates,mkdocs-document-dates,['plugin'],git-info,{},72.0,72.0,4.0,https://pypi.org/project/mkdocs-document-dates,,,,3,True,3.0,,,,,,,,,,,,,,,,,,,,,
