,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,license,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,watchers_count,markdown_extension,trending,gitlab_id,gitlab_url,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,pypi,bitbucket_id
185,mkdocs-exclude-unused-files,,exclude-unused-files,,JonasDoesThings/mkdocs-exclude-unused-files,mkdocs-exclude-unused-files,['plugin'],site-management,{},28.0,28.0,4.0,https://pypi.org/project/mkdocs-exclude-unused-files,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
186,mkdocs-required-frontmatter-plugin,,required-frontmatter,,unmc-vcr/mkdocs-required-frontmatter-plugin,mkdocs-required-frontmatter-plugin,['plugin'],site-management,{},2.0,2.0,,https://pypi.org/project/mkdocs-required-frontmatter-plugin,281.0,281.0,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
187,snippet,,snippet,,mprivat/mkdocs-snippet-plugin,mkdocs-snippet-plugin,['plugin'],snippets-include,{},23.0,23.0,4.0,https://pypi.org/project/mkdocs-snippet-plugin,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
188,git snippet,,gitsnippet,,SamazoOo/mkdocs-gitsnippet-plugin,mkdocs-gitsnippet-plugin,['plugin'],snippets-include,{},14.0,14.0,4.0,https://pypi.org/project/mkdocs-gitsnippet-plugin,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Cluster,cluster,,,,mkdocs-cluster,['theme'],theming,https://gitlab.com/kaliko/mkdocs-cluster,,,,https://pypi.org/project/mkdocs-cluster,,,Another bootstrap theme for MkDocs.,1,True,3.0,,,2016-06-02 15:03:33,2016-06-02 15:03:33.000000,,,2.0,,,1.0,6.0,,,0.0,,,,kaliko/mkdocs-cluster,https://gitlab.com/kaliko/mkdocs-cluster,,,,,,,
190,Markdown Grid Tables,,,,,markdown-grid-tables,['markdown'],markdown,https://gitlab.com/WillDaSilva/markdown_grid_tables,,,,https://pypi.org/project/markdown-grid-tables,,,[Python-Markdown](https://python-markdown.github.io/) [extension](https://python-markdown.github.io/extensions/api/)..,1,True,3.0,,,2022-02-09 02:39:55,2022-02-09 02:39:55.000000,,,7.0,,3.0,1.0,1.0,,,0.0,,markdown_grid_tables,,WillDaSilva/markdown_grid_tables,https://gitlab.com/WillDaSilva/markdown_grid_tables,,,,,,,
191,mkdocs-theme-topdf,topdf,,,kuri65536/mkdocs-theme-topdf,mkdocs-theme-topdf,['theme'],theming,{},4.0,4.0,,https://pypi.org/project/mkdocs-theme-topdf,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Zettelkasten,zettelkasten-solarized-light,['zettelkasten'],,buvis/mkdocs-zettelkasten,mkdocs-zettelkasten,['theme'],theming,{},7.0,7.0,5.0,https://pypi.org/project/mkdocs-zettelkasten,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Landing,landing,,,TEParsons/mkdocs-landing,mkdocs-landing,['theme'],theming,{},8.0,8.0,4.0,https://pypi.org/project/mkdocs-landing,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
194,MkAutoDoc,,,,tomchristie/mkautodoc,mkautodoc,['markdown'],api-docs,{},,,7.0,https://pypi.org/project/mkautodoc,,,,1,True,3.0,BSD,,,,,,,,,,,,,,,mkautodoc,,,,,,,,,,
