,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,markdown_extension,license,trending,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,pypi,bitbucket_id
13,include-markdown,,include-markdown,,mondeja/mkdocs-include-markdown-plugin,mkdocs-include-markdown-plugin,['plugin'],snippets-include,{},4169.0,4169.0,18.0,https://pypi.org/project/mkdocs-include-markdown-plugin,706411.0,706411.0,,12,True,1.0,,,,,,,,,,,,,,,,,,,
14,mkdocs-click,,,,mkdocs/mkdocs-click,mkdocs-click,['markdown'],api-docs,{},1286.0,1286.0,16.0,https://pypi.org/project/mkdocs-click,1086795.0,1086795.0,,11,True,1.0,mkdocs-click,,-10.0,,,,,,,,,,,,,,,,
15,markdown-exec,,markdown-exec,{'plugins.markdown-exec.ansi': 'markdown-exec[ansi]'},pawamoy/markdown-exec,markdown-exec,['plugin'],code-exec-templating,{},883.0,883.0,6.0,https://pypi.org/project/markdown-exec,1105374.0,1105374.0,,11,True,2.0,,,,,,,,,,,,,,,,,,,
16,static-i18n,,i18n,,ultrabug/mkdocs-static-i18n,mkdocs-static-i18n,['plugin'],i18n-l10n,{},2706.0,2706.0,14.0,https://pypi.org/project/mkdocs-static-i18n,709644.0,709644.0,,11,True,1.0,,,,,,,,,,,,,,,,,,,
17,Math extension,,,,mitya57/python-markdown-math,python-markdown-math,['markdown'],markdown,{},4070.0,4070.0,8.0,https://pypi.org/project/python-markdown-math,439808.0,439808.0,,11,True,1.0,mdx_math,,-10.0,,,,,,,,,,,,,,,,
18,monorepo,,monorepo,,backstage/mkdocs-monorepo-plugin,mkdocs-monorepo-plugin,['plugin'],site-management,{},690.0,690.0,32.0,https://pypi.org/project/mkdocs-monorepo-plugin,1967835.0,1967835.0,,11,True,1.0,,,,,,,,,,,,,,,,,,,
19,Markdown-Include,,,,cmacmackin/markdown-include,markdown-include,['markdown'],snippets-include,{},8060.0,8060.0,12.0,https://pypi.org/project/markdown-include,263835.0,263835.0,,11,True,2.0,markdown_include.include,,-10.0,,,,,,,,,,,,,,,,
20,Windmill,windmill,,,gristlabs/mkdocs-windmill,mkdocs-windmill,['theme'],theming,{},367.0,367.0,8.0,https://pypi.org/project/mkdocs-windmill,8222.0,8222.0,,10,True,1.0,,MIT,,,,,,,,,,,,,,,,,
21,MkDocs Video,,mkdocs-video,,soulless-viewer/mkdocs-video,mkdocs-video,['plugin'],charts,{},1169.0,1169.0,5.0,https://pypi.org/project/mkdocs-video,141068.0,141068.0,,10,True,1.0,,,,,,,,,,,,,,,,,,,
22,git-revision-date,,git-revision-date,,zhaoterryy/mkdocs-git-revision-date-plugin,mkdocs-git-revision-date-plugin,['plugin'],git-info,{},3046.0,3046.0,7.0,https://pypi.org/project/mkdocs-git-revision-date-plugin,145671.0,145671.0,,10,True,1.0,,,-10.0,,,,,,,,,,,,,,,,
23,git-authors,,git-authors,,timvink/mkdocs-git-authors-plugin,mkdocs-git-authors-plugin,['plugin'],git-info,{},1974.0,1974.0,17.0,https://pypi.org/project/mkdocs-git-authors-plugin,377535.0,377535.0,,10,True,1.0,,,,,,,,,,,,,,,,,,,
24,git-committers-2,,git-committers,,ojacques/mkdocs-git-committers-plugin-2,mkdocs-git-committers-plugin-2,['plugin'],git-info,{},1644.0,1644.0,19.0,https://pypi.org/project/mkdocs-git-committers-plugin-2,143548.0,143548.0,An MkDocs plugin to create a list of contributors on the page.,10,True,1.0,,,,,,,,,,,,,,,,,,,
25,mkdocs-llmstxt,,llmstxt,,pawamoy/mkdocs-llmstxt,mkdocs-llmstxt,['plugin'],integrations,{},656.0,656.0,5.0,https://pypi.org/project/mkdocs-llmstxt,468923.0,468923.0,,10,True,1.0,,,-10.0,,,,,,,,,,,,,,,,
26,mkdocs-callouts,,callouts,,sondregronas/mkdocs-callouts,mkdocs-callouts,['plugin'],markdown,{},1451.0,1451.0,3.0,https://pypi.org/project/mkdocs-callouts,61814.0,61814.0,,10,True,1.0,,,,,,,,,,,,,,,,,,,
27,awesome-nav,,awesome-nav,,lukasgeiter/mkdocs-awesome-nav,mkdocs-awesome-nav,['plugin'],nav-pages,{},696.0,696.0,12.0,https://pypi.org/project/mkdocs-awesome-nav,1168155.0,1168155.0,,10,True,1.0,,,,,,,,,,,,,,,,,,,
28,mkdocs-simple-hooks,,mkdocs-simple-hooks,,aklajnert/mkdocs-simple-hooks,mkdocs-simple-hooks,['plugin'],nav-pages,{},2338.0,2338.0,6.0,https://pypi.org/project/mkdocs-simple-hooks,88828.0,88828.0,,10,True,1.0,,,,,,,,,,,,,,,,,,,
29,mkdocs-with-pdf,,with-pdf,,orzih/mkdocs-with-pdf,mkdocs-with-pdf,['plugin'],site-conversion,{},931.0,931.0,6.0,https://pypi.org/project/mkdocs-with-pdf,316953.0,316953.0,,10,True,1.0,,,,,,,,,,,,,,,,,,,
30,Bootswatch,"['cerulean', 'cosmo', 'cyborg', 'darkly', 'flatly', 'journal', 'litera', 'lumen', 'lux', 'materia', 'minty', 'pulse', 'sandstone', 'simplex', 'slate', 'solar', 'spacelab', 'superhero', 'united', 'yeti']",,,mkdocs/mkdocs-bootswatch,mkdocs-bootswatch,['theme'],theming,{},1274.0,1274.0,10.0,https://pypi.org/project/mkdocs-bootswatch,18064.0,18064.0,,9,True,1.0,,,,,,,,,,,,,,,,,,,
31,MkDocsOAD,,"['neoteroi.mkdocsoad', 'neoteroi.contribs']",,Neoteroi/mkdocs-plugins,neoteroi-mkdocs,"['plugin', 'markdown']",api-docs,{},531.0,531.0,13.0,https://pypi.org/project/neoteroi-mkdocs,151890.0,151890.0,Plugin for MkDocs to generate human readable documentation from OpenAPI Documentation Version 3 (also known as Swagger..,9,True,1.0,"['neoteroi.cards', 'neoteroi.timeline', 'neoteroi.projects', 'neoteroi.spantable']",,,,,,,,,,,,,,,,,,
32,MkDocs Swagger UI Tag,,swagger-ui-tag,,blueswen/mkdocs-swagger-ui-tag,mkdocs-swagger-ui-tag,['plugin'],integrations,{},447.0,447.0,10.0,https://pypi.org/project/mkdocs-swagger-ui-tag,302572.0,302572.0,,9,True,2.0,,,,,,,,,,,,,,,,,,,
33,htmlproofer,,htmlproofer,,manuzhang/mkdocs-htmlproofer-plugin,mkdocs-htmlproofer-plugin,['plugin'],links-refs,{},745.0,745.0,16.0,https://pypi.org/project/mkdocs-htmlproofer-plugin,99137.0,99137.0,,9,True,1.0,,,,,,,,,,,,,,,,,,,
34,link-marker,,link-marker,,timmeinerzhagen/mkdocs-link-marker,mkdocs-link-marker,['plugin'],links-refs,{},54.0,54.0,3.0,https://pypi.org/project/mkdocs-link-marker,895409.0,895409.0,,9,True,1.0,,,,,,,,,,,,,,,,,,,
35,pdf-export,,pdf-export,,zhaoterryy/mkdocs-pdf-export-plugin,mkdocs-pdf-export-plugin,['plugin'],site-conversion,{},1533.0,1533.0,12.0,https://pypi.org/project/mkdocs-pdf-export-plugin,37793.0,37793.0,,9,True,1.0,,,,,,,,,,,,,,,,,,,
36,mkdocs-multirepo-plugin,,multirepo,,jdoiro3/mkdocs-multirepo-plugin,mkdocs-multirepo-plugin,['plugin'],site-management,{},263.0,263.0,17.0,https://pypi.org/project/mkdocs-multirepo-plugin,67750.0,67750.0,,9,True,1.0,,,,,,,,,,,,,,,,,,,
37,meta-descriptions,,meta-descriptions,,prcr/mkdocs-meta-descriptions-plugin,mkdocs-meta-descriptions-plugin,['plugin'],snippets-include,{},1280.0,1280.0,3.0,https://pypi.org/project/mkdocs-meta-descriptions-plugin,17669.0,17669.0,,9,True,2.0,,,,,,,,,,,,,,,,,,,
38,GitBook,gitbook,,,,mkdocs-gitbook,['theme'],theming,https://gitlab.com/lramage/mkdocs-gitbook-theme,,,,https://pypi.org/project/mkdocs-gitbook,29360.0,29360.0,Default theme for GitBook for Mkdocs https://lramage.gitlab.io/mkdocs-gitbook-theme.,8,True,2.0,,,,lramage/mkdocs-gitbook-theme,https://gitlab.com/lramage/mkdocs-gitbook-theme,2018-12-17 18:29:14,15.0,9.0,10.0,31.0,0.0,2018-12-17 18:29:14.000000,,,,,,,
39,Bootstrap,bootstrap,,,mkdocs/mkdocs-bootstrap,mkdocs-bootstrap,['theme'],theming,{},523.0,523.0,6.0,https://pypi.org/project/mkdocs-bootstrap,16082.0,16082.0,,8,True,2.0,,,,,,,,,,,,,,,,,,,
40,mkdoxy,,mkdoxy,,JakubAndrysek/MkDoxy,mkdoxy,['plugin'],api-docs,{},74.0,74.0,18.0,https://pypi.org/project/mkdoxy,69022.0,69022.0,,8,True,2.0,,,,,,,,,,,,,,,,,,,
41,mkdocs-api-autonav,,api-autonav,,tlambert03/mkdocs-api-autonav,mkdocs-api-autonav,['plugin'],api-docs,{},311.0,311.0,2.0,https://pypi.org/project/mkdocs-api-autonav,129208.0,129208.0,,8,True,2.0,,,,,,,,,,,,,,,,,,,
42,mkdocs-blogging-plugin,,blogging,,liang2kl/mkdocs-blogging-plugin,mkdocs-blogging-plugin,['plugin'],blogging,{},321.0,321.0,7.0,https://pypi.org/project/mkdocs-blogging-plugin,9705.0,9705.0,,8,True,1.0,,,,,,,,,,,,,,,,,,,
43,kroki,,kroki,,AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,mkdocs-kroki-plugin,['plugin'],charts,{},93.0,93.0,19.0,https://pypi.org/project/mkdocs-kroki-plugin,82181.0,82181.0,,8,True,1.0,,,,,,,,,,,,,,,,,,,
44,mkdocs-diagrams,,diagrams,,zoni/mkdocs-diagrams,mkdocs-diagrams,['plugin'],charts,{},86.0,86.0,,https://pypi.org/project/mkdocs-diagrams,78514.0,78514.0,,8,True,1.0,,,,,,,,,,,,,,,,,,,
45,mkdocs-marimo,,marimo,,marimo-team/mkdocs-marimo,mkdocs-marimo,['plugin'],code-exec-templating,{},14.0,14.0,8.0,https://pypi.org/project/mkdocs-marimo,9451.0,9451.0,,8,True,2.0,,Apache-2,,,,,,,,,,,,,,,,,
46,git-committers,,git-committers,,byrnereese/mkdocs-git-committers-plugin,mkdocs-git-committers-plugin,['plugin'],git-info,{},355.0,355.0,7.0,https://pypi.org/project/mkdocs-git-committers-plugin,18690.0,18690.0,,8,True,2.0,,,,,,,,,,,,,['mkdocs_plugin'],,,,,,
47,enumerate-headings,,enumerate-headings,,timvink/mkdocs-enumerate-headings-plugin,mkdocs-enumerate-headings-plugin,['plugin'],html-css,{},398.0,398.0,6.0,https://pypi.org/project/mkdocs-enumerate-headings-plugin,51608.0,51608.0,,8,True,1.0,,,,,,,,,,,,,,,,,,,
48,mkdocs-open-in-new-tab,,open-in-new-tab,,JakubAndrysek/mkdocs-open-in-new-tab,mkdocs-open-in-new-tab,['plugin'],links-refs,{},734.0,734.0,2.0,https://pypi.org/project/mkdocs-open-in-new-tab,187682.0,187682.0,,8,True,2.0,,,,,,,,,,,,,,,,,,,
49,markdown-callouts,,,,oprypin/markdown-callouts,markdown-callouts,['markdown'],markdown,{},764.0,764.0,2.0,https://pypi.org/project/markdown-callouts,119138.0,119138.0,,8,True,2.0,"['callouts', 'github-callouts']",,,,,,,,,,,,,,,,,,
50,mkdocs-spellcheck,,spellcheck,,pawamoy/mkdocs-spellcheck,mkdocs-spellcheck,['plugin'],quality,{},89.0,89.0,7.0,https://pypi.org/project/mkdocs-spellcheck,94398.0,94398.0,,8,True,1.0,,,,,,,,,,,,,,,,,,,
51,mkdocs-embed-external-markdown,,external-markdown,,fire1ce/mkdocs-embed-external-markdown,mkdocs-embed-external-markdown,['plugin'],snippets-include,{},177.0,177.0,7.0,https://pypi.org/project/mkdocs-embed-external-markdown,8054.0,8054.0,,8,True,3.0,,MIT,,,,,,,,,,,,,,,,,
52,markdown-katex,,,,,markdown-katex,['markdown'],markdown,https://gitlab.com/mbarkhau/markdown-katex,,,,https://pypi.org/project/markdown-katex,21109.0,21109.0,KaTeX extension for Python Markdown.,7,True,2.0,markdown_katex,,,mbarkhau/markdown-katex,https://gitlab.com/mbarkhau/markdown-katex,2019-05-14 07:53:31,4.0,4.0,13.0,11.0,0.0,2019-05-14 07:53:31.000000,,,,,,,
53,MkDocs Graphviz,,,,,mkdocs-graphviz,['markdown'],charts,https://gitlab.com/rod2ik/mkdocs-graphviz,,,,https://pypi.org/project/mkdocs-graphviz,15497.0,15497.0,"A mkdocs Extension that automatically renders Graphviz images, in SVG or PNG format, within your markdown file.",7,True,2.0,mkdocs_graphviz,,1.0,rod2ik/mkdocs-graphviz,https://gitlab.com/rod2ik/mkdocs-graphviz,2021-05-03 14:28:32,1.0,6.0,5.0,6.0,5.0,2021-05-03 14:28:32.000000,,,,,,,
54,Cinder,cinder,,,chrissimpkins/cinder,mkdocs-cinder,['theme'],theming,{},710.0,710.0,23.0,https://pypi.org/project/mkdocs-cinder,,,,7,True,2.0,,MIT,,,,,,,,,,,,,,,,,
55,Dracula,dracula,,,dracula/mkdocs,mkdocs-dracula-theme,['theme'],theming,{},155.0,155.0,5.0,https://pypi.org/project/mkdocs-dracula-theme,9033.0,9033.0,,7,True,2.0,,,,,,,,,,,,,,,,,,,
56,Shadcn,shadcn,"['shadcn/search', 'shadcn/excalidraw']",,asiffer/mkdocs-shadcn,mkdocs-shadcn,"['theme', 'plugin']",theming,{},95.0,95.0,7.0,https://pypi.org/project/mkdocs-shadcn,40662.0,40662.0,,7,True,2.0,,,,,,,,,,,,,,,,,,,
57,build-plantuml,,build_plantuml,,quantorconsulting/mkdocs_build_plantuml,mkdocs-build-plantuml-plugin,['plugin'],charts,{},147.0,147.0,14.0,https://pypi.org/project/mkdocs-build-plantuml-plugin,31332.0,31332.0,,7,True,2.0,,,,,,,,,,,,,,,,,,,
58,markdown-captions,,,,Evidlo/markdown_captions,markdown-captions,['markdown'],charts,{},197.0,197.0,2.0,https://pypi.org/project/markdown-captions,22292.0,22292.0,,7,True,2.0,markdown_captions,,,,,,,,,,,,,,,,,,
59,document-dates,,document-dates,,jaywhj/mkdocs-document-dates,mkdocs-document-dates,['plugin'],git-info,{},70.0,70.0,4.0,https://pypi.org/project/mkdocs-document-dates,20639.0,20639.0,,7,True,3.0,,,,,,,,,,,,,,,,,,,
60,add-number,,add-number,,ignorantshr/mkdocs-add-number-plugin,mkdocs-add-number-plugin,['plugin'],html-css,{},54.0,54.0,3.0,https://pypi.org/project/mkdocs-add-number-plugin,8564.0,8564.0,,7,True,2.0,,,,,,,,,,,,,,,,,,,
61,minify-html,,minify_html,,monosans/mkdocs-minify-html-plugin,mkdocs-minify-html-plugin,['plugin'],html-css,{},102.0,102.0,4.0,https://pypi.org/project/mkdocs-minify-html-plugin,21282.0,21282.0,,7,True,2.0,,,,,,,,,,,,,,,,,,,
62,autorefs,,autorefs,,mkdocstrings/autorefs,mkdocs-autorefs,['plugin'],links-refs,{},,,9.0,https://pypi.org/project/mkdocs-autorefs,8139451.0,8139451.0,,7,True,2.0,,,,,,,,,,,,,,,,,,,
63,ezlinks,,ezlinks,,orbikm/mkdocs-ezlinks-plugin,mkdocs-ezlinks-plugin,['plugin'],links-refs,{},180.0,180.0,,https://pypi.org/project/mkdocs-ezlinks-plugin,13964.0,13964.0,,7,True,2.0,,,,,,,,,,,,,,,,,,,
64,mkdocs-versioning,,mkdocs-versioning,,zayd62/mkdocs-versioning,mkdocs-versioning,['plugin'],site-management,{},182.0,182.0,5.0,https://pypi.org/project/mkdocs-versioning,12414.0,12414.0,,7,True,2.0,,,,,,,,,,,,,,,,,,,
65,BOOTSTRAP386,bootstrap386,,,,mkdocs-bootstrap386,['theme'],theming,https://gitlab.com/lramage/mkdocs-bootstrap386,,,,https://pypi.org/project/mkdocs-bootstrap386,465.0,465.0,A vintage 1980s DOS inspired Twitter Bootstrap theme for MkDocs https://lramage.gitlab.io/mkdocs-bootstrap386.,6,True,2.0,,,,lramage/mkdocs-bootstrap386,https://gitlab.com/lramage/mkdocs-bootstrap386,2018-06-06 02:30:09,3.0,4.0,3.0,37.0,1.0,2018-06-06 02:30:09.000000,,,,,,,
66,Nature,nature,,,waylan/mkdocs-nature,mkdocs-nature,['theme'],theming,{},52.0,52.0,3.0,https://pypi.org/project/mkdocs-nature,2004.0,2004.0,,6,True,2.0,,,,,,,,,,,,,,,,,,,
67,Simple Blog,simple-blog,,,FernandoCelmer/mkdocs-simple-blog,mkdocs-simple-blog,['theme'],theming,{},97.0,97.0,5.0,https://pypi.org/project/mkdocs-simple-blog,1187.0,1187.0,,6,True,2.0,,,,,,,,,,,,,,,,,,,
68,Terminal for MkDocs,terminal,['terminal/md-to-html'],,ntno/mkdocs-terminal,mkdocs-terminal,['theme'],theming,{},172.0,172.0,4.0,https://pypi.org/project/mkdocs-terminal,5924.0,5924.0,,6,True,2.0,,,,,,,,,,,,,,,,,,,
69,mkdocs-typer2,,mkdocs-typer2,,syn54x/mkdocs-typer2,mkdocs-typer2,['plugin'],api-docs,{},51.0,51.0,2.0,https://pypi.org/project/mkdocs-typer2,11634.0,11634.0,,6,True,2.0,,,,,,,,,,,,,,,,,,,
70,mkdocs-autoapi,,mkdocs-autoapi,,jcayers20/mkdocs-autoapi,mkdocs-autoapi,['plugin'],api-docs,{},140.0,140.0,2.0,https://pypi.org/project/mkdocs-autoapi,25483.0,25483.0,,6,True,2.0,,,,,,,,,,,,,,,,,,,
71,Publisher for MkDocs - blog,,pub-blog,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],blogging,{},101.0,101.0,4.0,https://pypi.org/project/mkdocs-publisher,5746.0,5746.0,"Blogging engine with support for categories, tags and archive.",6,True,2.0,,,,,,,,,,,,,,,,,,,
72,MkDocs GLightbox,,glightbox,,blueswen/mkdocs-glightbox,mkdocs-glightbox,['plugin'],charts,{},6420.0,6420.0,9.0,https://pypi.org/project/mkdocs-glightbox,,,,6,True,2.0,,,,,,,,,,,,,,,,,,,
73,Lightgallery,,,,g-provost/lightgallery-markdown,lightgallery,['markdown'],charts,{},110.0,110.0,6.0,https://pypi.org/project/lightgallery,4056.0,4056.0,,6,True,2.0,lightgallery,,,,,,,,,,,,,,,,,,
74,Markdown blockdiag,,,,gisce/markdown-blockdiag,markdown-blockdiag,['markdown'],charts,{},149.0,149.0,5.0,https://pypi.org/project/markdown-blockdiag,2536.0,2536.0,,6,True,2.0,markdown_blockdiag,,,,,,,,,,,,,,,,,,
75,mkdocs-d2-plugin,,d2,,landmaj/mkdocs-d2-plugin,mkdocs-d2-plugin,['plugin'],charts,{},38.0,38.0,4.0,https://pypi.org/project/mkdocs-d2-plugin,33315.0,33315.0,,6,True,2.0,,,,,,,,,,,,,,,,,,,
76,user-defined-values,,user-defined-values,,rahult/mkdocs-user-defined-values,mkdocs-user-defined-values,['plugin'],code-exec-templating,{},15.0,15.0,3.0,https://pypi.org/project/mkdocs-user-defined-values,549.0,549.0,,6,True,2.0,,MIT,,,,,,,,,,,,,,,,,
77,Entangled,,entangled,,entangled/mkdocs-plugin,mkdocs-entangled-plugin,['plugin'],code-exec-templating,{},14.0,14.0,,https://pypi.org/project/mkdocs-entangled-plugin,19151.0,19151.0,,6,True,2.0,,,,,,,,,,,,,,,,,,,
78,mkdocs-extra-sass-plugin,,extra-sass,,orzih/mkdocs-extra-sass-plugin,mkdocs-extra-sass-plugin,['plugin'],html-css,{},95.0,95.0,,https://pypi.org/project/mkdocs-extra-sass-plugin,6946.0,6946.0,,6,True,2.0,,,,,,,,,,,,,,,,,,,
79,Publisher for MkDocs - social,,pub-social,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],html-css,{},101.0,101.0,4.0,https://pypi.org/project/mkdocs-publisher,5746.0,5746.0,Social media sharing helper.,6,True,2.0,,,,,,,,,,,,,,,,,,,
80,Publisher for MkDocs - minifier,,pub-minifier,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],html-css,{},101.0,101.0,4.0,https://pypi.org/project/mkdocs-publisher,5746.0,5746.0,"Size optimization (minification) for HTML, CSS, JS, SVG, PNG and JPEG files.",6,True,2.0,,,,,,,,,,,,,,,,,,,
81,Publisher for MkDocs - obsidian,,pub-obsidian,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],integrations,{},101.0,101.0,4.0,https://pypi.org/project/mkdocs-publisher,5746.0,5746.0,"Obsidian.md integration including with support for wiki links, callouts, backlinks etc.",6,True,2.0,,,,,,,,,,,,,,,,,,,
82,bibtex,,bibtex,,shyamd/mkdocs-bibtex,mkdocs-bibtex,['plugin'],links-refs,{},,,21.0,https://pypi.org/project/mkdocs-bibtex,53499.0,53499.0,,6,True,2.0,,BSD-3-Clause-LBNL,,,,,,,,,,,,,,,,,
83,Mdx Truly Sane Lists,,,,radude/mdx_truly_sane_lists,mdx-truly-sane-lists,['markdown'],markdown,{},,,4.0,https://pypi.org/project/mdx-truly-sane-lists,1413941.0,1413941.0,,6,True,2.0,mdx_truly_sane_lists,,,,,,,,,,,,,,,,,,
84,section-index,,section-index,,oprypin/mkdocs-section-index,mkdocs-section-index,['plugin'],nav-pages,{},,,3.0,https://pypi.org/project/mkdocs-section-index,1548589.0,1548589.0,,6,True,2.0,,,,,,,,,,,,,,,,,,,
85,mkdocs-pagetree-plugin,,pagetree,,tombreit/mkdocs-pagetree-plugin,mkdocs-pagetree-plugin,['plugin'],nav-pages,{},38.0,38.0,3.0,https://pypi.org/project/mkdocs-pagetree-plugin,20417.0,20417.0,,6,True,2.0,,,,,,,,,,,,,,,,,,,
86,Publisher for MkDocs - meta,,pub-meta,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],nav-pages,{},101.0,101.0,4.0,https://pypi.org/project/mkdocs-publisher,5746.0,5746.0,Automatic navigation based on files metadata with URL name and publication status control.,6,True,2.0,,,,,,,,,,,,,,,,,,,
87,localsearch,,localsearch,,wilhelmer/mkdocs-localsearch,mkdocs-localsearch,['plugin'],search-toc,{},108.0,108.0,6.0,https://pypi.org/project/mkdocs-localsearch,6970.0,6970.0,,6,True,1.0,,,,,,,,,,,,,,,,,,,
88,mkdocs-exclude-unused-files,,exclude-unused-files,,JonasDoesThings/mkdocs-exclude-unused-files,mkdocs-exclude-unused-files,['plugin'],site-management,{},28.0,28.0,4.0,https://pypi.org/project/mkdocs-exclude-unused-files,13159.0,13159.0,,6,True,2.0,,,,,,,,,,,,,,,,,,,
89,Publisher for MkDocs - debugger,,pub-debugger,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],site-management,{},101.0,101.0,4.0,https://pypi.org/project/mkdocs-publisher,5746.0,5746.0,Advanced console and file logger from build and serve process.,6,True,2.0,,,,,,,,,,,,,,,,,,,
