,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,markdown_extension,license,trending,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,pypi,bitbucket_id
0,Material for MkDocs,material,"['material/blog', 'material/group', 'material/offline', 'material/search', 'material/social', 'material/tags']",{'plugins.social': 'mkdocs-material[imaging]'},squidfunk/mkdocs-material,mkdocs-material,"['theme', 'plugin']",theming,{},92204.0,92204.0,333.0,https://pypi.org/project/mkdocs-material,17818509.0,17818509.0,,17,True,1.0,,,,,,,,,,,,,,,,,,,
1,PyMdown Extensions,,,,facelessuser/pymdown-extensions,pymdown-extensions,['markdown'],markdown,{},62836.0,62836.0,56.0,https://pypi.org/project/pymdown-extensions,26279185.0,26279185.0,,16,True,1.0,"['pymdownx.arithmatex', 'pymdownx.b64', 'pymdownx.betterem', 'pymdownx.blocks.admonition', 'pymdownx.blocks.definition', 'pymdownx.blocks.details', 'pymdownx.blocks.html', 'pymdownx.blocks.tab', 'pymdownx.caret', 'pymdownx.critic', 'pymdownx.details', 'pymdownx.emoji', 'pymdownx.escapeall', 'pymdownx.extra', 'pymdownx.highlight', 'pymdownx.inlinehilite', 'pymdownx.keys', 'pymdownx.magiclink', 'pymdownx.mark', 'pymdownx.pathconverter', 'pymdownx.progressbar', 'pymdownx.saneheaders', 'pymdownx.smartsymbols', 'pymdownx.snippets', 'pymdownx.striphtml', 'pymdownx.superfences', 'pymdownx.tabbed', 'pymdownx.tasklist', 'pymdownx.tilde']",,,,,,,,,,,,,,,,,,
2,mkdocstrings,,mkdocstrings,"{'plugins.mkdocstrings.handlers.crystal': 'mkdocstrings-crystal', 'plugins.mkdocstrings.handlers.python': 'mkdocstrings-python'}",mkdocstrings/mkdocstrings,mkdocstrings,['plugin'],api-docs,{},29896.0,29896.0,55.0,https://pypi.org/project/mkdocstrings,8406141.0,8406141.0,,15,True,1.0,,,,,,,,,,,,,,,,,,,
3,macros,,macros,,fralau/mkdocs_macros_plugin,mkdocs-macros-plugin,['plugin'],code-exec-templating,{},7142.0,7142.0,36.0,https://pypi.org/project/mkdocs-macros-plugin,2360166.0,2360166.0,,15,True,1.0,,MIT,,,,,,,,,,,,,,,,,
4,mkdocs-jupyter,,mkdocs-jupyter,,danielfrg/mkdocs-jupyter,mkdocs-jupyter,['plugin'],code-exec-templating,{},5364.0,5364.0,39.0,https://pypi.org/project/mkdocs-jupyter,491680.0,491680.0,,13,True,1.0,,,,,,,,,,,,,,,,,,,
5,git-revision-date-localized,,git-revision-date-localized,,timvink/mkdocs-git-revision-date-localized-plugin,mkdocs-git-revision-date-localized-plugin,['plugin'],git-info,{},12906.0,12906.0,43.0,https://pypi.org/project/mkdocs-git-revision-date-localized-plugin,1600926.0,1600926.0,,13,True,1.0,,,,,,,,,,,,,,,,,,,
6,mermaid2,,mermaid2,,fralau/mkdocs-mermaid2-plugin,mkdocs-mermaid2-plugin,['plugin'],charts,{},3964.0,3964.0,17.0,https://pypi.org/project/mkdocs-mermaid2-plugin,1016244.0,1016244.0,,12,True,1.0,,,,,,,,,,,,,,,,,,,
7,plantuml-markdown,,,,mikitex70/plantuml-markdown,plantuml-markdown,['markdown'],charts,{},1833.0,1833.0,30.0,https://pypi.org/project/plantuml-markdown,957749.0,957749.0,,12,True,1.0,plantuml_markdown,,,,,,,,,,,,,,,,,,
8,gen-files,,gen-files,,oprypin/mkdocs-gen-files,mkdocs-gen-files,['plugin'],code-exec-templating,{},4734.0,4734.0,6.0,https://pypi.org/project/mkdocs-gen-files,1450791.0,1450791.0,,12,True,2.0,,,,,,,,,,,,,,,,,,,
9,minify,,minify,,byrnereese/mkdocs-minify-plugin,mkdocs-minify-plugin,['plugin'],html-css,{},12659.0,12659.0,14.0,https://pypi.org/project/mkdocs-minify-plugin,1076673.0,1076673.0,,12,True,1.0,,,,,,,,,,,,,,,,,,,
10,mkdocs-redirects,,redirects,,mkdocs/mkdocs-redirects,mkdocs-redirects,['plugin'],links-refs,{},8091.0,8091.0,18.0,https://pypi.org/project/mkdocs-redirects,1707835.0,1707835.0,,12,True,1.0,,,,,,,,,,,,,,,,,,,
11,literate-nav,,literate-nav,,oprypin/mkdocs-literate-nav,mkdocs-literate-nav,['plugin'],nav-pages,{},3828.0,3828.0,,https://pypi.org/project/mkdocs-literate-nav,1140968.0,1140968.0,,12,True,1.0,,,,,,,,,,,,,,,,,,,
12,mike,,mike,,jimporter/mike,mike,['plugin'],site-management,{},6950.0,6950.0,9.0,https://pypi.org/project/mike,1665552.0,1665552.0,,12,True,1.0,,,,,,,,,,,,,,,,,,,
