,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,license,markdown_extension,trending,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,pypi,bitbucket_id
0,Material for MkDocs,material,"['material/blog', 'material/group', 'material/offline', 'material/search', 'material/social', 'material/tags']",{'plugins.social': 'mkdocs-material[imaging]'},squidfunk/mkdocs-material,mkdocs-material,"['theme', 'plugin']",theming,{},90432.0,90432.0,331.0,https://pypi.org/project/mkdocs-material,17138871.0,17138871.0,,17,True,1.0,,,,,,,,,,,,,,,,,,,
1,mkdocstrings,,mkdocstrings,"{'plugins.mkdocstrings.handlers.crystal': 'mkdocstrings-crystal', 'plugins.mkdocstrings.handlers.python': 'mkdocstrings-python'}",mkdocstrings/mkdocstrings,mkdocstrings,['plugin'],api-docs,{},29097.0,29097.0,55.0,https://pypi.org/project/mkdocstrings,7486483.0,7486483.0,,15,True,1.0,,,,,,,,,,,,,,,,,,,
2,macros,,macros,,fralau/mkdocs_macros_plugin,mkdocs-macros-plugin,['plugin'],code-exec-templating,{},7065.0,7065.0,36.0,https://pypi.org/project/mkdocs-macros-plugin,2863595.0,2863595.0,,15,True,1.0,MIT,,,,,,,,,,,,,,,,,,
3,mkdocs-jupyter,,mkdocs-jupyter,,danielfrg/mkdocs-jupyter,mkdocs-jupyter,['plugin'],code-exec-templating,{},5273.0,5273.0,39.0,https://pypi.org/project/mkdocs-jupyter,483318.0,483318.0,,13,True,1.0,,,,,,,,,,,,,,,,,,,
4,mermaid2,,mermaid2,,fralau/mkdocs-mermaid2-plugin,mkdocs-mermaid2-plugin,['plugin'],charts,{},3907.0,3907.0,17.0,https://pypi.org/project/mkdocs-mermaid2-plugin,1394781.0,1394781.0,,12,True,1.0,,,,,,,,,,,,,,,,,,,
5,MkDocs GLightbox,,glightbox,,blueswen/mkdocs-glightbox,mkdocs-glightbox,['plugin'],charts,{},6321.0,6321.0,9.0,https://pypi.org/project/mkdocs-glightbox,1386202.0,1386202.0,,12,True,1.0,,,,,,,,,,,,,,,,,,,
6,plantuml-markdown,,,,mikitex70/plantuml-markdown,plantuml-markdown,['markdown'],charts,{},1831.0,1831.0,30.0,https://pypi.org/project/plantuml-markdown,896636.0,896636.0,,12,True,1.0,,plantuml_markdown,,,,,,,,,,,,,,,,,
7,mkdocs-redirects,,redirects,,mkdocs/mkdocs-redirects,mkdocs-redirects,['plugin'],links-refs,{},7944.0,7944.0,18.0,https://pypi.org/project/mkdocs-redirects,1605603.0,1605603.0,,12,True,1.0,,,,,,,,,,,,,,,,,,,
8,include-markdown,,include-markdown,,mondeja/mkdocs-include-markdown-plugin,mkdocs-include-markdown-plugin,['plugin'],snippets-include,{},4077.0,4077.0,18.0,https://pypi.org/project/mkdocs-include-markdown-plugin,666020.0,666020.0,,12,True,1.0,,,,,,,,,,,,,,,,,,,
9,markdown-exec,,markdown-exec,{'plugins.markdown-exec.ansi': 'markdown-exec[ansi]'},pawamoy/markdown-exec,markdown-exec,['plugin'],code-exec-templating,{},859.0,859.0,6.0,https://pypi.org/project/markdown-exec,853011.0,853011.0,,11,True,2.0,,,,,,,,,,,,,,,,,,,
10,literate-nav,,literate-nav,,oprypin/mkdocs-literate-nav,mkdocs-literate-nav,['plugin'],nav-pages,{},3748.0,3748.0,,https://pypi.org/project/mkdocs-literate-nav,1471471.0,1471471.0,,11,True,1.0,,,,,,,,,,,,,,,,,,,
11,techdocs-core,,techdocs-core,,backstage/mkdocs-techdocs-core,mkdocs-techdocs-core,['plugin'],site-management,{},223.0,223.0,51.0,https://pypi.org/project/mkdocs-techdocs-core,754883.0,754883.0,,11,True,1.0,,,,,,,,,,,,,,,,,,,
12,Markdown-Include,,,,cmacmackin/markdown-include,markdown-include,['markdown'],snippets-include,{},8027.0,8027.0,12.0,https://pypi.org/project/markdown-include,256017.0,256017.0,,11,True,2.0,,markdown_include.include,-10.0,,,,,,,,,,,,,,,,
13,MkDocs Video,,mkdocs-video,,soulless-viewer/mkdocs-video,mkdocs-video,['plugin'],charts,{},1164.0,1164.0,5.0,https://pypi.org/project/mkdocs-video,180028.0,180028.0,,10,True,1.0,,,,,,,,,,,,,,,,,,,
14,git-authors,,git-authors,,timvink/mkdocs-git-authors-plugin,mkdocs-git-authors-plugin,['plugin'],git-info,{},1961.0,1961.0,17.0,https://pypi.org/project/mkdocs-git-authors-plugin,367440.0,367440.0,,10,True,1.0,,,,,,,,,,,,,,,,,,,
15,mkdocs-callouts,,callouts,,sondregronas/mkdocs-callouts,mkdocs-callouts,['plugin'],markdown,{},1444.0,1444.0,3.0,https://pypi.org/project/mkdocs-callouts,62883.0,62883.0,,10,True,1.0,,,,,,,,,,,,,,,,,,,
16,exclude,,exclude,,apenwarr/mkdocs-exclude,mkdocs-exclude,['plugin'],nav-pages,{},3184.0,3184.0,,https://pypi.org/project/mkdocs-exclude,217720.0,217720.0,,10,True,1.0,,,,,,,,,,,,,,,,,,,
17,awesome-nav,,awesome-nav,,lukasgeiter/mkdocs-awesome-nav,mkdocs-awesome-nav,['plugin'],nav-pages,{},665.0,665.0,12.0,https://pypi.org/project/mkdocs-awesome-nav,820709.0,820709.0,,10,True,1.0,,,,,,,,,,,,,,,,,,,
18,panzoom,,panzoom,,PLAYG0N/mkdocs-panzoom,mkdocs-panzoom-plugin,['plugin'],charts,{},73.0,73.0,7.0,https://pypi.org/project/mkdocs-panzoom-plugin,1129075.0,1129075.0,,9,True,2.0,,,,,,,,,,,,,,,,,,,
19,MkDocs Swagger UI Tag,,swagger-ui-tag,,blueswen/mkdocs-swagger-ui-tag,mkdocs-swagger-ui-tag,['plugin'],integrations,{},441.0,441.0,10.0,https://pypi.org/project/mkdocs-swagger-ui-tag,253626.0,253626.0,,9,True,1.0,,,,,,,,,,,,,,,,,,,
20,mkdocs-llmstxt,,llmstxt,,pawamoy/mkdocs-llmstxt,mkdocs-llmstxt,['plugin'],integrations,{},596.0,596.0,5.0,https://pypi.org/project/mkdocs-llmstxt,371699.0,371699.0,,9,True,1.0,,,,,,,,,,,,,,,,,,,
21,encryptcontent,,encryptcontent,,unverbuggt/mkdocs-encryptcontent-plugin,mkdocs-encryptcontent-plugin,['plugin'],nav-pages,{},1272.0,1272.0,7.0,https://pypi.org/project/mkdocs-encryptcontent-plugin,19036.0,19036.0,,9,True,2.0,,,,,,,,,,,,,,,,,,,
22,pdf-export,,pdf-export,,zhaoterryy/mkdocs-pdf-export-plugin,mkdocs-pdf-export-plugin,['plugin'],site-conversion,{},1528.0,1528.0,12.0,https://pypi.org/project/mkdocs-pdf-export-plugin,39561.0,39561.0,,9,True,1.0,,,,,,,,,,,,,,,,,,,
23,meta-descriptions,,meta-descriptions,,prcr/mkdocs-meta-descriptions-plugin,mkdocs-meta-descriptions-plugin,['plugin'],snippets-include,{},1276.0,1276.0,3.0,https://pypi.org/project/mkdocs-meta-descriptions-plugin,18710.0,18710.0,,9,True,2.0,,,,,,,,,,,,,,,,,,,
24,GitBook,gitbook,,,,mkdocs-gitbook,['theme'],theming,https://gitlab.com/lramage/mkdocs-gitbook-theme,,,,https://pypi.org/project/mkdocs-gitbook,40834.0,40834.0,Default theme for GitBook for Mkdocs https://lramage.gitlab.io/mkdocs-gitbook-theme.,8,True,1.0,,,,lramage/mkdocs-gitbook-theme,https://gitlab.com/lramage/mkdocs-gitbook-theme,2018-12-17 18:29:14,15.0,9.0,10.0,31.0,0.0,2018-12-17 18:29:14.000000,,,,,,,
25,MkApi,,mkapi,,daizutabi/mkapi,mkapi,['plugin'],api-docs,{},268.0,268.0,6.0,https://pypi.org/project/mkapi,8421.0,8421.0,,8,True,1.0,,,,,,,,,,,,,,,,,,,
26,mkdoxy,,mkdoxy,,JakubAndrysek/MkDoxy,mkdoxy,['plugin'],api-docs,{},72.0,72.0,18.0,https://pypi.org/project/mkdoxy,63566.0,63566.0,,8,True,1.0,,,,,,,,,,,,,,,,,,,
27,meta-manager,,meta-manager,,timmeinerzhagen/mkdocs-meta-manager,mkdocs-meta-manager,['plugin'],code-exec-templating,{},22.0,22.0,3.0,https://pypi.org/project/mkdocs-meta-manager,995421.0,995421.0,,8,True,2.0,,,,,,,,,,,,,,,,,,,
28,mkdocs-marimo,,marimo,,marimo-team/mkdocs-marimo,mkdocs-marimo,['plugin'],code-exec-templating,{},14.0,14.0,8.0,https://pypi.org/project/mkdocs-marimo,10416.0,10416.0,,8,True,2.0,Apache-2,,,,,,,,,,,,,,,,,,
29,mkdocs-coverage,,coverage,,pawamoy/mkdocs-coverage,mkdocs-coverage,['plugin'],integrations,{},355.0,355.0,2.0,https://pypi.org/project/mkdocs-coverage,65963.0,65963.0,,8,True,2.0,,,-10.0,,,,,,,,,,,,,,,,
30,mkdocs-open-in-new-tab,,open-in-new-tab,,JakubAndrysek/mkdocs-open-in-new-tab,mkdocs-open-in-new-tab,['plugin'],links-refs,{},726.0,726.0,2.0,https://pypi.org/project/mkdocs-open-in-new-tab,199253.0,199253.0,,8,True,1.0,,,,,,,,,,,,,,,,,,,
31,PyMdown Extensions,,,,facelessuser/pymdown-extensions,pymdown-extensions,['markdown'],markdown,{},61614.0,61614.0,56.0,https://pypi.org/project/pymdown-extensions,,,,8,True,1.0,,"['pymdownx.arithmatex', 'pymdownx.b64', 'pymdownx.betterem', 'pymdownx.blocks.admonition', 'pymdownx.blocks.definition', 'pymdownx.blocks.details', 'pymdownx.blocks.html', 'pymdownx.blocks.tab', 'pymdownx.caret', 'pymdownx.critic', 'pymdownx.details', 'pymdownx.emoji', 'pymdownx.escapeall', 'pymdownx.extra', 'pymdownx.highlight', 'pymdownx.inlinehilite', 'pymdownx.keys', 'pymdownx.magiclink', 'pymdownx.mark', 'pymdownx.pathconverter', 'pymdownx.progressbar', 'pymdownx.saneheaders', 'pymdownx.smartsymbols', 'pymdownx.snippets', 'pymdownx.striphtml', 'pymdownx.superfences', 'pymdownx.tabbed', 'pymdownx.tasklist', 'pymdownx.tilde']",,,,,,,,,,,,,,,,,
32,Cinder,cinder,,,chrissimpkins/cinder,mkdocs-cinder,['theme'],theming,{},710.0,710.0,23.0,https://pypi.org/project/mkdocs-cinder,,,,7,True,1.0,MIT,,,,,,,,,,,,,,,,,,
33,document-dates,,document-dates,,jaywhj/mkdocs-document-dates,mkdocs-document-dates,['plugin'],git-info,{},65.0,65.0,4.0,https://pypi.org/project/mkdocs-document-dates,19707.0,19707.0,,7,True,1.0,,,,,,,,,,,,,,,,,,,
34,git-revision-date-localized,,git-revision-date-localized,,timvink/mkdocs-git-revision-date-localized-plugin,mkdocs-git-revision-date-localized-plugin,['plugin'],git-info,{},12750.0,12750.0,43.0,https://pypi.org/project/mkdocs-git-revision-date-localized-plugin,,,,7,True,1.0,,,,,,,,,,,,,,,,,,,
35,autorefs,,autorefs,,mkdocstrings/autorefs,mkdocs-autorefs,['plugin'],links-refs,{},,,9.0,https://pypi.org/project/mkdocs-autorefs,7311928.0,7311928.0,,7,True,2.0,,,,,,,,,,,,,,,,,,,
36,ezlinks,,ezlinks,,orbikm/mkdocs-ezlinks-plugin,mkdocs-ezlinks-plugin,['plugin'],links-refs,{},177.0,177.0,,https://pypi.org/project/mkdocs-ezlinks-plugin,17951.0,17951.0,,7,True,2.0,,,,,,,,,,,,,,,,,,,
37,Windmill,windmill,,,gristlabs/mkdocs-windmill,mkdocs-windmill,['theme'],theming,{},367.0,367.0,8.0,https://pypi.org/project/mkdocs-windmill,,,,6,True,2.0,MIT,,-10.0,,,,,,,,,,,,,,,,
38,Nature,nature,,,waylan/mkdocs-nature,mkdocs-nature,['theme'],theming,{},52.0,52.0,3.0,https://pypi.org/project/mkdocs-nature,1637.0,1637.0,,6,True,2.0,,,,,,,,,,,,,,,,,,,
39,mkdocs-autoapi,,mkdocs-autoapi,,jcayers20/mkdocs-autoapi,mkdocs-autoapi,['plugin'],api-docs,{},135.0,135.0,2.0,https://pypi.org/project/mkdocs-autoapi,22952.0,22952.0,,6,True,2.0,,,,,,,,,,,,,,,,,,,
40,gen-files,,gen-files,,oprypin/mkdocs-gen-files,mkdocs-gen-files,['plugin'],code-exec-templating,{},4624.0,4624.0,6.0,https://pypi.org/project/mkdocs-gen-files,,,,6,True,2.0,,,,,,,,,,,,,,,,,,,
