,name,mkdocs_plugin,github_id,pypi_id,labels,license,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,pypi_url,projectrank,show,projectrank_placing,watchers_count,dependent_project_count,github_dependent_project_count,pypi_monthly_downloads,monthly_downloads,markdown_extension,extra_dependencies,mkdocs_theme,trending,shadowed,gitlab_id,gitlab_url,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,pypi,bitbucket_id
133,mkdocs-markmap,markmap,markmap/mkdocs-markmap,mkdocs-markmap,['plugin'],,code-exec-templating,,{},,,,,,,,,,,,,,3.0,https://pypi.org/project/mkdocs-markmap,3,True,3.0,,,,2003.0,2003.0,,,,,,,,,,,,,
134,codeyaml,codeyaml,textileio/mkdocs-codeyaml-plugin,mkdocs-codeyaml-plugin,['plugin'],MIT,code-exec-templating,,{},,,,,,,,,,,,,,,https://pypi.org/project/mkdocs-codeyaml-plugin,3,True,3.0,,2.0,2.0,59.0,59.0,,,,,,,,,,,,,
135,bootstrap-tables,bootstrap-tables,byrnereese/mkdocs-bootstrap-tables-plugin,mkdocs-bootstrap-tables-plugin,['plugin'],,html-css,,{},,,,,,,,,,,,,,,https://pypi.org/project/mkdocs-bootstrap-tables-plugin,3,True,2.0,,114.0,114.0,,,,,,,,,,,,,,,
136,add-number,add-number,ignorantshr/mkdocs-add-number-plugin,mkdocs-add-number-plugin,['plugin'],,html-css,,{},,,,,,,,,,,,,,3.0,https://pypi.org/project/mkdocs-add-number-plugin,3,True,2.0,,54.0,54.0,,,,,,,,,,,,,,,
137,minify-html,minify_html,monosans/mkdocs-minify-html-plugin,mkdocs-minify-html-plugin,['plugin'],,html-css,,{},,,,,,,,,,,,,,4.0,https://pypi.org/project/mkdocs-minify-html-plugin,3,True,2.0,,102.0,102.0,,,,,,,,,,,,,,,
138,mkdocs-extra-sass-plugin,extra-sass,orzih/mkdocs-extra-sass-plugin,mkdocs-extra-sass-plugin,['plugin'],,html-css,,{},,,,,,,,,,,,,,,https://pypi.org/project/mkdocs-extra-sass-plugin,3,True,2.0,,95.0,95.0,,,,,,,,,,,,,,,
139,Publisher for MkDocs - social,pub-social,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],,html-css,,{},,,,,,,,,,,,,Social media sharing helper.,4.0,https://pypi.org/project/mkdocs-publisher,3,True,2.0,,101.0,101.0,,,,,,,,,,,,,,,
140,MkDocs Pygments,pygments,pawamoy/mkdocs-pygments,,['plugin'],ISC,html-css,,{},,,,,,,,,,,,,,,,3,True,2.0,,7.0,7.0,,,,,,,,,,,,,,,
141,mkdocs-ai-summary,ai-summary,AIboy996/mkdocs-ai-summary,mkdocs-ai-summary,['plugin'],MIT,html-css,,https://aiboy996.github.io/mkdocs-ai-summary/,,,,,,,,,,,,,,,https://pypi.org/project/mkdocs-ai-summary,3,True,2.0,,4.0,4.0,,,,,,,,,,,,,,,
142,mkdocs-coverage,coverage,pawamoy/mkdocs-coverage,mkdocs-coverage,['plugin'],,integrations,,{},,,,,,,,,,,,,,2.0,https://pypi.org/project/mkdocs-coverage,3,True,3.0,,378.0,378.0,,,,,,,,,,,,,,,
143,ezlinks,ezlinks,orbikm/mkdocs-ezlinks-plugin,mkdocs-ezlinks-plugin,['plugin'],,links-refs,,{},,,,,,,,,,,,,,,https://pypi.org/project/mkdocs-ezlinks-plugin,3,True,3.0,,181.0,181.0,,,,,,,,,,,,,,,
144,link-marker,link-marker,timmeinerzhagen/mkdocs-link-marker,mkdocs-link-marker,['plugin'],,links-refs,,{},,,,,,,,,,,,,,3.0,https://pypi.org/project/mkdocs-link-marker,3,True,3.0,,54.0,54.0,,,,,,,,,,,,,,,
145,mkdocs-open-in-new-tab,open-in-new-tab,JakubAndrysek/mkdocs-open-in-new-tab,mkdocs-open-in-new-tab,['plugin'],,links-refs,,{},,,,,,,,,,,,,,2.0,https://pypi.org/project/mkdocs-open-in-new-tab,3,True,3.0,,740.0,740.0,,,,,,,,,,,,,,,
146,MarkdownSubscript,,jambonrose/markdown_subscript_extension,MarkdownSubscript,['markdown'],,markdown,,{},,,,,,,,,,,,,,2.0,https://pypi.org/project/MarkdownSubscript,3,True,3.0,,59.0,59.0,83.0,83.0,subscript,,,,,,,,,,,,
147,caption,,flywire/caption,,['markdown'],,markdown,,{},,,,,,,,,,,,,,4.0,,3,True,3.0,,73.0,73.0,,,"['caption', 'image_captions', 'table_captions']",,,,,,,,,,,,
148,mkdocs-nav-weight,mkdocs-nav-weight,shu307/mkdocs-nav-weight,mkdocs-nav-weight,['plugin'],,nav-pages,,{},,,,,,,,,,,,,,4.0,https://pypi.org/project/mkdocs-nav-weight,3,True,3.0,,138.0,138.0,,,,,,,,,,,,,,,
149,mkdocs-spellcheck,spellcheck,pawamoy/mkdocs-spellcheck,mkdocs-spellcheck,['plugin'],,quality,,{},,,,,,,,,,,,,,7.0,https://pypi.org/project/mkdocs-spellcheck,3,True,2.0,,89.0,89.0,,,,,,,,,,,,,,,
150,localsearch,localsearch,wilhelmer/mkdocs-localsearch,mkdocs-localsearch,['plugin'],,search-toc,,{},,,,,,,,,,,,,,6.0,https://pypi.org/project/mkdocs-localsearch,3,True,1.0,,108.0,108.0,,,,,,,,,,,,,,,
151,mkpdfs,mkpdfs,comwes/mkpdfs-mkdocs-plugin,mkpdfs-mkdocs,['plugin'],,site-conversion,,{},,,,,,,,,,,,,,9.0,https://pypi.org/project/mkpdfs-mkdocs,3,True,3.0,,66.0,66.0,,,,,,,,,,,,,,,
152,mkdocs-pandoc,,jgrassler/mkdocs-pandoc,mkdocs-pandoc,[],,site-conversion,,{},,,,,,,,,,,,,,4.0,https://pypi.org/project/mkdocs-pandoc,3,True,3.0,,78.0,78.0,,,,,,,,,,,,,,,
153,simple,simple,athackst/mkdocs-simple-plugin,mkdocs-simple-plugin,['plugin'],,site-management,,{},,,,,,,,,,,,,,8.0,https://pypi.org/project/mkdocs-simple-plugin,3,True,3.0,,64.0,64.0,,,,,,,,,,,,,,,
154,mkdocs-auto-refresh-build-pages,auto-refresh-build-pages,JakubAndrysek/mkdocs-auto-refresh-build-pages,mkdocs-auto-refresh-build-pages,['plugin'],,site-management,,{},,,,,,,,,,,,,,,https://pypi.org/project/mkdocs-auto-refresh-build-pages,3,True,3.0,,7.0,7.0,281.0,281.0,,,,,,,,,,,,,
155,markdown-version-annotations,,glennmatthews/markdown-version-annotations,markdown-version-annotations,['markdown'],,snippets-include,,{},,,,,,,,,,,,,,,https://pypi.org/project/markdown-version-annotations,3,True,3.0,,109.0,109.0,,,markdown_version_annotations,,,,,,,,,,,,
156,MkHack3rs,,,,['project'],,charts,,https://eskool.gitlab.io/mkhack3rs/,2021-05-01 11:44:57,2021-05-01 11:44:57.000000,,,1.0,,,,4.0,,,0.0,Hacks & Integrations for Mkdocs / Material Theme.,,,2,True,3.0,,,,,,,,,,,eskool/mkhack3rs,https://gitlab.com/eskool/mkhack3rs,,,,,,
157,CustomMill,,Siphalor/mkdocs-custommill,mkdocs-custommill,['theme'],,theming,,{},,,,,,,,,,,,,,8.0,https://pypi.org/project/mkdocs-custommill,2,True,3.0,,24.0,24.0,,,,,custommill,,,,,,,,,,
158,GitHub,,g3xx/mkdocs-Github,mkdocs-github,['theme'],,theming,,{},,,,,,,,,,,,,,,https://pypi.org/project/mkdocs-github,2,True,3.0,,13.0,13.0,,,,,github,,,,,,,,,,
159,Ivory,,daizutabi/mkdocs-ivory,mkdocs-ivory,['theme'],,theming,,{},,,,,,,,,,,,,,2.0,https://pypi.org/project/mkdocs-ivory,2,True,3.0,,,,1927.0,1927.0,,,ivory,,,,,,,,,,
160,SWAN,,swan-cern/mkdocs-swan,mkdocs-swan,['theme'],,theming,,{},,,,,,,,,,,,,,5.0,https://pypi.org/project/mkdocs-swan,2,True,3.0,,13.0,13.0,,,,,swan,,,,,,,,,,
161,Zettelkasten,['zettelkasten'],buvis/mkdocs-zettelkasten,mkdocs-zettelkasten,['theme'],,theming,,{},,,,,,,,,,,,,,5.0,https://pypi.org/project/mkdocs-zettelkasten,2,True,3.0,,6.0,6.0,109.0,109.0,,,zettelkasten-solarized-light,,,,,,,,,,
162,Moonstone,,byrnereese/mkdocs-moonstone,mkdocs-moonstone,['theme'],,theming,,{},,,,,,,,,,,,,,,https://pypi.org/project/mkdocs-moonstone,2,True,3.0,,18.0,18.0,,,,,moonstone,,,,,,,,,,
163,Torillic,,TEParsons/torillic,mkdocs-torillic,['theme'],,theming,,{},,,,,,,,,,,,,,4.0,https://pypi.org/project/mkdocs-torillic,2,True,3.0,,,,469.0,469.0,,,torillic,,,,,,,,,,
164,mkdocs-typer2,mkdocs-typer2,syn54x/mkdocs-typer2,mkdocs-typer2,['plugin'],,api-docs,,{},,,,,,,,,,,,,,2.0,https://pypi.org/project/mkdocs-typer2,2,True,3.0,,55.0,55.0,,,,,,,,,,,,,,,
165,mkdocs-pipeline-visualizer,pipeline-visualizer,obegron/mkdocs-pipeline-visualizer,mkdocs-pipeline-visualizer,['plugin'],,api-docs,,{},,,,,,,,,,,,,,4.0,https://pypi.org/project/mkdocs-pipeline-visualizer,2,True,3.0,,3.0,3.0,51.0,51.0,,,,,,,,,,,,,
166,ansible-document,,,ansible-mkdocs,[],,api-docs,,https://pypi.org/project/ansible-mkdocs/,,,,,,,,,,,,,Auto-generate ansible role documentation.,,https://pypi.org/project/ansible-mkdocs,2,True,3.0,,,,28.0,28.0,,,,,,,,,,,,,
167,markdownwavedrom,markdownwavedrom,kuri65536/mkdocs-wavedrom-plugin,mkdocs-wavedrom-plugin,['plugin'],,charts,,{},,,,,,,,,,,,,,,https://pypi.org/project/mkdocs-wavedrom-plugin,2,True,3.0,,16.0,16.0,,,,,,,,,,,,,,,
168,Termage,termage,bczsalba/Termage,Termage,['plugin'],,charts,,{},,,,,,,,,,,,,,,https://pypi.org/project/Termage,2,True,3.0,,3.0,3.0,48.0,48.0,,,,,,,,,,,,,
169,import-statement,import-statement,Rj40x40/mkdocs-import-statement-plugin,mkdocs-import-statement-plugin,['plugin'],,charts,,{},,,,,,,,,,,,,,,https://pypi.org/project/mkdocs-import-statement-plugin,2,True,3.0,,4.0,4.0,114.0,114.0,,,,,,,,,,,,,
170,mkdocs-d2-plugin,d2,landmaj/mkdocs-d2-plugin,mkdocs-d2-plugin,['plugin'],,charts,,{},,,,,,,,,,,,,,4.0,https://pypi.org/project/mkdocs-d2-plugin,2,True,3.0,,38.0,38.0,,,,,,,,,,,,,,,
171,inline-svg,inline-svg,rajguru7/mkdocs-plugin-inline-svg-mod,mkdocs-plugin-inline-svg-mod,['plugin'],,charts,,{},,,,,,,,,,,,,,5.0,https://pypi.org/project/mkdocs-plugin-inline-svg-mod,2,True,3.0,,7.0,7.0,35.0,35.0,,,,,,,,,,,,,
172,pico-8,pico-8,fmaida/pico8-mkdocs-plugin,pico8-mkdocs-plugin,['plugin'],,charts,,{},,,,,,,,,,,,,,,https://pypi.org/project/pico8-mkdocs-plugin,2,True,3.0,,3.0,3.0,63.0,63.0,,,,,,,,,,,,,
173,pheasant,pheasant,daizutabi/pheasant,pheasant,['plugin'],,code-exec-templating,,{},,,,,,,,,,,,,,4.0,https://pypi.org/project/pheasant,2,True,3.0,,,,325.0,325.0,,,,,,,,,,,,,
174,nbconvert,nbconvert,tanbro/mkdocs-nbconvert,mkdocs-nbconvert,['plugin'],,code-exec-templating,,{},,,,,,,,,,,,,,5.0,https://pypi.org/project/mkdocs-nbconvert,2,True,3.0,,11.0,11.0,,,,,,,,,,,,,,,
175,meta-manager,meta-manager,timmeinerzhagen/mkdocs-meta-manager,mkdocs-meta-manager,['plugin'],,code-exec-templating,,{},,,,,,,,,,,,,,3.0,https://pypi.org/project/mkdocs-meta-manager,2,True,3.0,,22.0,22.0,,,,,,,,,,,,,,,
176,Entangled,entangled,entangled/mkdocs-plugin,mkdocs-entangled-plugin,['plugin'],,code-exec-templating,,{},,,,,,,,,,,,,,,https://pypi.org/project/mkdocs-entangled-plugin,2,True,3.0,,14.0,14.0,,,,,,,,,,,,,,,
177,recently-updated,recently-updated,jaywhj/mkdocs-recently-updated-docs,mkdocs-recently-updated-docs,['plugin'],,git-info,,{},,,,,,,,,,,,,,,https://pypi.org/project/mkdocs-recently-updated-docs,2,True,3.0,,,,724.0,724.0,,,,,,,,,,,,,
178,mkdocs-link-embeds,link-embeds,Aetherinox/mkdocs-link-embeds,mkdocs-link-embeds-plugin,['plugin'],,html-css,,{},,,,,,,,,,,,,,,https://pypi.org/project/mkdocs-link-embeds-plugin,2,True,3.0,,11.0,11.0,,,,,,,,,,,,,,,
179,MkDocs Backend for Foliant,,foliant-docs/foliantcontrib.mkdocs,foliantcontrib.mkdocs,[],,integrations,,{},,,,,,,,,,,,,,5.0,https://pypi.org/project/foliantcontrib.mkdocs,2,True,3.0,,35.0,35.0,,,,,,,,,,,,,,,
180,Mkdocs-Addresses,mkdocs-addresses,,mkdocs-addresses,['plugin'],,links-refs,,https://gitlab.com/frederic-zinelli/mkdocs-addresses,2023-07-13 16:32:15,2023-07-13 16:32:15.000000,,,0.0,,1.0,,,,,0.0,"Mkdocs plugin, building automatically the appropriate relative paths (to images, links, anchors, ...) using..",,https://pypi.org/project/mkdocs-addresses,2,True,3.0,,,,,,,,,,,frederic-zinelli/mkdocs-addresses,https://gitlab.com/frederic-zinelli/mkdocs-addresses,,,,,,
181,tooltipster-links,tooltipster-links,zachhannum/mkdocs-tooltipster-links-plugin,mkdocs-tooltipster-links-plugin,['plugin'],,links-refs,,{},,,,,,,,,,,,,,,https://pypi.org/project/mkdocs-tooltipster-links-plugin,2,True,3.0,,31.0,31.0,,,,,,,,,,,,,,,
182,mkdocs-alias-plugin,alias,eddyluten/mkdocs-alias-plugin,mkdocs-alias-plugin,['plugin'],,links-refs,,{},,,,,,,,,,,,,,6.0,https://pypi.org/project/mkdocs-alias-plugin,2,True,3.0,,40.0,40.0,,,,,,,,,,,,,,,
183,MkDocs Backlinks Section Plugin,backlinks_section,six-two/mkdocs-backlinks-section-plugin,mkdocs-backlinks-section-plugin,['plugin'],,links-refs,,{},,,,,,,,,,,,,,2.0,https://pypi.org/project/mkdocs-backlinks-section-plugin,2,True,3.0,,,,3599.0,3599.0,,,,,,,,,,,,,
184,Tweetable quotes,,max-arnold/markdown-tweetable,markdown-tweetable,['markdown'],,markdown,,{},,,,,,,,,,,,,,,https://pypi.org/project/markdown-tweetable,2,True,3.0,,5.0,5.0,50.0,50.0,tweetable.extension,,,,,,,,,,,,
185,KBD Extension,,RickTalken/kbdextension,kbdextension,['markdown'],,markdown,,{},,,,,,,,,,,,,,,https://pypi.org/project/kbdextension,2,True,3.0,,12.0,12.0,,,kbdextension,,,,,,,,,,,,
186,toc-sidebar,toc-sidebar,zachhannum/mkdocs-toc-sidebar-plugin,mkdocs-toc-sidebar-plugin,['plugin'],,nav-pages,,{},,,,,,,,,,,,,,2.0,https://pypi.org/project/mkdocs-toc-sidebar-plugin,2,True,3.0,,55.0,55.0,,,,,,,,,,,,,,,
187,schema-reader,schema_reader,magicaljellybeans/mkdocs_schema_reader,mkdocs-schema-reader,['plugin'],MIT,nav-pages,,{},,,,,,,,,,,,,,3.0,https://pypi.org/project/mkdocs-schema-reader,2,True,3.0,,,,,,,,,,,,,,,,,,
188,mkdocs-title-casing-plugin,title-casing,mattchristopher314/mkdocs-title-casing-plugin,mkdocs-title-casing-plugin,['plugin'],,nav-pages,,{},,,,,,,,,,,,,,,https://pypi.org/project/mkdocs-title-casing-plugin,2,True,3.0,,11.0,11.0,,,,,,,,,,,,,,,
189,file-filter,file-filter,DariuszPorowski/mkdocs-file-filter-plugin,mkdocs-file-filter-plugin,['plugin'],,nav-pages,,{},,,,,,,,,,,,,,4.0,https://pypi.org/project/mkdocs-file-filter-plugin,2,True,3.0,,18.0,18.0,,,,,,,,,,,,,,,
190,mkdocs-breadcrumbs-plugin,mkdocs-breadcrumbs-plugin,mihaigalos/mkdocs-breadcrumbs-plugin,mkdocs-breadcrumbs-plugin,['plugin'],,nav-pages,,{},,,,,,,,,,,,,,5.0,https://pypi.org/project/mkdocs-breadcrumbs-plugin,2,True,3.0,,13.0,13.0,,,,,,,,,,,,,,,
191,vim-md-tags,vim-md-tags,zachhannum/mkdocs-vim-md-tags-plugin,mkdocs-vim-md-tags-plugin,['plugin'],,nav-pages,,{},,,,,,,,,,,,,,4.0,https://pypi.org/project/mkdocs-vim-md-tags-plugin,2,True,3.0,,12.0,12.0,,,,,,,,,,,,,,,
192,MkDocs-Test,test,fralau/mkdocs-test,,['plugin'],MIT,quality,,{},,,,,,,,,,,,,,3.0,,2,True,3.0,,,,,,,,,,,,,,,,,mkdocs-test,
193,extract listings,extract_listings,six-two/mkdocs-extract-listings-plugin,mkdocs-extract-listings-plugin,['plugin'],,search-toc,,{},,,,,,,,,,,,,,,https://pypi.org/project/mkdocs-extract-listings-plugin,2,True,3.0,,,,693.0,693.0,,,,,,,,,,,,,
194,pdf-with-js,pdf-with-js,smaxtec/mkdocs-pdf-with-js-plugin,mkdocs-pdf-with-js-plugin,['plugin'],,site-conversion,,{},,,,,,,,,,,,,,4.0,https://pypi.org/project/mkdocs-pdf-with-js-plugin,2,True,3.0,,13.0,13.0,,,,,,,,,,,,,,,
195,progress,progress,rdilweb/mkdocs-plugin-progress,,['plugin'],,site-management,,{},,,,,,,,,,,,,,4.0,,2,True,3.0,,42.0,42.0,,,,,,,,,,,,,,,
196,mkdocs-yamp,yamp,boozallen/mkdocs-yamp-plugin,mkdocs-yamp,['plugin'],,site-management,,{},,,,,,,,,,,,,,2.0,https://pypi.org/project/mkdocs-yamp,2,True,3.0,,7.0,7.0,158.0,158.0,,,,,,,,,,,,,
197,mkdocs-exclude-unused-files,exclude-unused-files,JonasDoesThings/mkdocs-exclude-unused-files,mkdocs-exclude-unused-files,['plugin'],,site-management,,{},,,,,,,,,,,,,,4.0,https://pypi.org/project/mkdocs-exclude-unused-files,2,True,3.0,,28.0,28.0,,,,,,,,,,,,,,,
198,snippet,snippet,mprivat/mkdocs-snippet-plugin,mkdocs-snippet-plugin,['plugin'],,snippets-include,,{},,,,,,,,,,,,,,4.0,https://pypi.org/project/mkdocs-snippet-plugin,2,True,3.0,,23.0,23.0,,,,,,,,,,,,,,,
199,Cluster,,,mkdocs-cluster,['theme'],,theming,,https://gitlab.com/kaliko/mkdocs-cluster,2016-06-02 15:03:33,2016-06-02 15:03:33.000000,,,2.0,,,1.0,6.0,,,0.0,Another bootstrap theme for MkDocs.,,https://pypi.org/project/mkdocs-cluster,1,True,3.0,,,,,,,,cluster,,,kaliko/mkdocs-cluster,https://gitlab.com/kaliko/mkdocs-cluster,,,,,,
200,Markdown Grid Tables,,,markdown-grid-tables,['markdown'],,markdown,,https://gitlab.com/WillDaSilva/markdown_grid_tables,2022-02-09 02:39:55,2022-02-09 02:39:55.000000,,,7.0,,3.0,1.0,1.0,,,0.0,[Python-Markdown](https://python-markdown.github.io/) [extension](https://python-markdown.github.io/extensions/api/)..,,https://pypi.org/project/markdown-grid-tables,1,True,3.0,,,,,,markdown_grid_tables,,,,,WillDaSilva/markdown_grid_tables,https://gitlab.com/WillDaSilva/markdown_grid_tables,,,,,,
201,mkdocs-theme-topdf,,kuri65536/mkdocs-theme-topdf,mkdocs-theme-topdf,['theme'],,theming,,{},,,,,,,,,,,,,,,https://pypi.org/project/mkdocs-theme-topdf,1,True,3.0,,4.0,4.0,,,,,topdf,,,,,,,,,,
202,Risonia,"['risonia/color-theme', 'risonia/w3css-classes']",unverbuggt/mkdocs-risonia-theme,mkdocs-risonia-theme,['theme'],,theming,,{},,,,,,,,,,,,,,,https://pypi.org/project/mkdocs-risonia-theme,1,True,3.0,,4.0,4.0,,,,,risonia,,,,,,,,,,
203,Lantana,,WSOFT-Project/lantana,lantana,['theme'],,theming,,{},,,,,,,,,,,,,,6.0,https://pypi.org/project/lantana,1,True,3.0,,8.0,8.0,,,,,lantana,,,,,,,,,,
204,Landing,,TEParsons/mkdocs-landing,mkdocs-landing,['theme'],,theming,,{},,,,,,,,,,,,,,4.0,https://pypi.org/project/mkdocs-landing,1,True,3.0,,8.0,8.0,,,,,landing,,,,,,,,,,
205,mkdocs-curriculum-vitae,,Paul-Riviere/mkdocs-curriculum-vitae,mkdocs-curriculum-vitae,['theme'],,theming,,{},,,,,,,,,,,,,,3.0,https://pypi.org/project/mkdocs-curriculum-vitae,1,True,3.0,,3.0,3.0,,,,,curriculum-vitae,,,,,,,,,,
206,MkAutoDoc,,tomchristie/mkautodoc,mkautodoc,['markdown'],BSD,api-docs,,{},,,,,,,,,,,,,,7.0,https://pypi.org/project/mkautodoc,1,True,3.0,,,,,,mkautodoc,,,,,,,,,,,,
207,mkdocs-typedoc,typedoc,JakubAndrysek/mkdocs-typedoc,mkdocs-typedoc,['plugin'],,api-docs,,{},,,,,,,,,,,,,,2.0,https://pypi.org/project/mkdocs-typedoc,1,True,3.0,,,,611.0,611.0,,,,,,,,,,,,,
208,mkdocstrings-vba,,mkdocstrings/vba,mkdocstrings-vba,,,api-docs,,{},,,,,,,,,,,,,,3.0,https://pypi.org/project/mkdocstrings-vba,1,True,3.0,,3.0,3.0,,,,,,,,,,,,,,,
209,mkdocs-azure-pipelines,mkdocs-azure-pipelines,Wesztman/mkdocs-azure-pipelines,mkdocs-azure-pipelines,['plugin'],,api-docs,,{},,,,,,,,,,,,,,3.0,https://pypi.org/project/mkdocs-azure-pipelines,1,True,3.0,,2.0,2.0,56.0,56.0,,,,,,,,,,,,,
210,markdown-figcap,,funk1d/markdown-figcap,markdown-figcap,['markdown'],,charts,,{},,,,,,,,,,,,,,,https://pypi.org/project/markdown-figcap,1,True,3.0,,7.0,7.0,,,markdown_figcap,,,,,,,,,,,,
211,svgbob extension for Python Markdown,,mbarkhau/markdown-svgbob,markdown-svgbob,['markdown'],,charts,,{},,,,,,,,,,,,,,2.0,https://pypi.org/project/markdown-svgbob,1,True,3.0,,10.0,10.0,,,markdown_svgbob,,,,,,,,,,,,
212,mkjsfiddle,jsfiddle,stadiamaps/mkjsfiddle,mkjsfiddle,['plugin'],,code-exec-templating,,{},,,,,,,,,,,,,,,https://pypi.org/project/mkjsfiddle,1,True,3.0,,3.0,3.0,,,,,,,,,,,,,,,
213,mkdocs-add-teaser,mkdocs-add-teaser,wilhelmer/mkdocs-add-teaser,mkdocs-add-teaser,['plugin'],,html-css,,{},,,,,,,,,,,,,,3.0,https://pypi.org/project/mkdocs-add-teaser,1,True,3.0,,8.0,8.0,,,,,,,,,,,,,,,
214,mkdocs_safe_text,mkdocs_safe_text,raimon49/mkdocs-safe-text-plugin,mkdocs-safe-text-plugin,['plugin'],,html-css,,{},,,,,,,,,,,,,,2.0,https://pypi.org/project/mkdocs-safe-text-plugin,1,True,3.0,,10.0,10.0,,,,,,,,,,,,,,,
215,Mkdocs translations plugin,translations,,mkdocs-translations,['plugin'],,i18n-l10n,,https://pypi.org/project/mkdocs-translations/,,,,,,,,,,,,,Internationalization plugin for mkdocs.,,https://pypi.org/project/mkdocs-translations,1,True,3.0,,,,,,,,,,,,,,,,,,
216,Vercel Password Protection,vercel_pw,six-two/mkdocs-vercel-pw-plugin,mkdocs-vercel-pw-plugin,['plugin'],,integrations,,{},,,,,,,,,,,,,,,https://pypi.org/project/mkdocs-vercel-pw-plugin,1,True,3.0,,,,33.0,33.0,,,,,,,,,,,,,
217,unused-files,unused_files,wilhelmer/mkdocs-unused-files,mkdocs-unused-files,['plugin'],,links-refs,,{},,,,,,,,,,,,,,2.0,https://pypi.org/project/mkdocs-unused-files,1,True,3.0,,40.0,40.0,,,,,,,,,,,,,,,
218,HEARTBEATS Flavored Markdown,,heartbeatsjp/markdown-extension-hbfm,hbfm,['markdown'],,markdown,,{},,,,,,,,,,,,,,2.0,https://pypi.org/project/hbfm,1,True,3.0,,10.0,10.0,,,"['hbfm.inline_coloring', 'hbfm.inline_list', 'hbfm.number_headers', 'hbfm.quote_uri_hash']",,,,,,,,,,,,
219,Django Static Image,,,markdown-djangostaticimage,['markdown'],,markdown,,https://pypi.org/project/markdown-djangostaticimage/,,,,,,,,,,,,,,,https://pypi.org/project/markdown-djangostaticimage,1,True,3.0,,,,23.0,23.0,django_static_image,,,1.0,,,,,,,,,melvinkcx/markdown-extension-django-static-image
220,markdown-icons,,MadLittleMods/markdown-icons,markdown-iconfonts,['markdown'],,markdown,,{},,,,,,,,,,,,,,4.0,https://pypi.org/project/markdown-iconfonts,1,True,3.0,,,,56.0,56.0,iconfonts,,,,,,,,,,,,
221,select-files,select-files,supcik/mkdocs-select-files,mkdocs-select-files,['plugin'],,nav-pages,,{},,,,,,,,,,,,,Filter pages for assignments.,,https://pypi.org/project/mkdocs-select-files,1,True,3.0,,9.0,9.0,,,,,,,,,,,,,,,
222,pagenav-generator,pagenav-generator,Andre601/mkdocs-pagenav-generator,,['plugin'],MIT,nav-pages,,{},,,,,,,,,,,,,,2.0,,1,True,3.0,,,,,,,,,,,,,,,,,,
223,SWAN Gallery,swangallery,swan-cern/mkdocs-swangallery,mkdocs-swangallery,['plugin'],,nav-pages,,{},,,,,,,,,,,,,,3.0,https://pypi.org/project/mkdocs-swangallery,1,True,3.0,,3.0,3.0,,,,,,,,,,,,,,,
224,authors,authors,thomaszwagerman/mkdocs-authors-plugin,mkdocs-authors-plugin,['plugin'],,nav-pages,,{},,,,,,,,,,,,,,,https://pypi.org/project/mkdocs-authors-plugin,1,True,3.0,,,,36.0,36.0,,,,,,,,,,,,,
225,mkdocs-codecheck,,byrnereese/codechecker-mkdocs,mkdocs-codecheck,[],,quality,,{},,,,,,,,,,,,,"Traverses a directory tree looking for code samples, then attempts to validate each code sample found.",6.0,https://pypi.org/project/mkdocs-codecheck,1,True,3.0,,,,24.0,24.0,,,,,,,,,,,,,
226,mk2pdf-export,mk2pdf-export,HaoLiuHust/mkdocs-mk2pdf-plugin,mkdocs-mk2pdf-plugin,['plugin'],,site-conversion,,{},,,,,,,,,,,,,,4.0,https://pypi.org/project/mkdocs-mk2pdf-plugin,1,True,3.0,,3.0,3.0,,,,,,,,,,,,,,,
227,multirepo,,wilhelmer/mkdocs-multirepo,mkdocs-multirepo,[],,site-management,,{},,,,,,,,,,,,,,3.0,https://pypi.org/project/mkdocs-multirepo,1,True,3.0,,3.0,3.0,,,,,,,,,,,,,,,
228,mkdocs-note,mkdocs-note,virtualguard101/mkdocs-note,mkdocs-note,['plugin'],,site-management,,{},,,,,,,,,,,,,,2.0,https://pypi.org/project/mkdocs-note,1,True,3.0,,,,796.0,796.0,,,,,,,,,,,,,
229,Windmill Dark,,noraj/mkdocs-windmill-dark,mkdocs-windmill-dark,['theme'],,theming,,{},,,,,,,,,,,,,,4.0,https://pypi.org/project/mkdocs-windmill-dark,0,True,,,,,,,,,windmill-dark,,,,,,,,,,
230,docSkimmer,,hfagerlund/mkdocs-docskimmer,,['theme'],,theming,,{},,,,,,,,,,,,,,,,0,True,,,,,,,,,docskimmer,,,,,,,,,,
231,Bootstrap 4,"['bootstrap4-blockquotes', 'bootstrap4-tables']",LukeCarrier/mkdocs-theme-bootstrap4,mkdocs-theme-bootstrap4,['theme'],,theming,,{},,,,,,,,,,,,,,3.0,https://pypi.org/project/mkdocs-theme-bootstrap4,0,True,,,,,,,,,bootstrap4,,['mkdocs_theme'],,,,,,,,
232,Alabaster,,notpushkin/mkdocs-alabaster,mkdocs-alabaster,['theme'],,theming,,{},,,,,,,,,,,,,,10.0,https://pypi.org/project/mkdocs-alabaster,0,True,,,,,,,,,alabaster,,,,,,,,,,
