,name,mkdocs_plugin,github_id,pypi_id,labels,license,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,pypi_url,projectrank,show,projectrank_placing,watchers_count,dependent_project_count,github_dependent_project_count,pypi_monthly_downloads,monthly_downloads,markdown_extension,extra_dependencies,mkdocs_theme,trending,shadowed,gitlab_id,gitlab_url,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,pypi,bitbucket_id
67,mkdocs-data-plugin,data,joapuiib/mkdocs-data-plugin,mkdocs-data-plugin,['plugin'],MIT,code-exec-templating,,{},,,,,,,,,,,,,,,https://pypi.org/project/mkdocs-data-plugin,5,True,2.0,,5.0,5.0,333.0,333.0,,,,,,,,,,,,,
68,git-committers-2,git-committers,ojacques/mkdocs-git-committers-plugin-2,mkdocs-git-committers-plugin-2,['plugin'],,git-info,,{},,,,,,,,,,,,,An MkDocs plugin to create a list of contributors on the page.,19.0,https://pypi.org/project/mkdocs-git-committers-plugin-2,5,True,3.0,,1652.0,1652.0,,,,,,,,,,,,,,,
69,static-i18n,i18n,ultrabug/mkdocs-static-i18n,mkdocs-static-i18n,['plugin'],,i18n-l10n,,{},,,,,,,,,,,,,,14.0,https://pypi.org/project/mkdocs-static-i18n,5,True,1.0,,2785.0,2785.0,,,,,,,,,,,,,,,
70,mkdocs-callouts,callouts,sondregronas/mkdocs-callouts,mkdocs-callouts,['plugin'],,markdown,,{},,,,,,,,,,,,,,3.0,https://pypi.org/project/mkdocs-callouts,5,True,2.0,,1458.0,1458.0,,,,,,,,,,,,,,,
71,mkpatcher,,ofek/mkpatcher,mkpatcher,['markdown'],,markdown,,{},,,,,,,,,,,,,,,https://pypi.org/project/mkpatcher,5,True,2.0,,12.0,12.0,1353.0,1353.0,mkpatcher,,,,,,,,,,,,
72,exclude,exclude,apenwarr/mkdocs-exclude,mkdocs-exclude,['plugin'],,nav-pages,,{},,,,,,,,,,,,,,,https://pypi.org/project/mkdocs-exclude,5,True,2.0,,3227.0,3227.0,,,,,,,,,,,,,,,
73,encryptcontent,encryptcontent,unverbuggt/mkdocs-encryptcontent-plugin,mkdocs-encryptcontent-plugin,['plugin'],,nav-pages,,{},,,,,,,,,,,,,,7.0,https://pypi.org/project/mkdocs-encryptcontent-plugin,5,True,2.0,,1275.0,1275.0,,,,,,,,,,,,,,,
74,mkdocs-simple-hooks,mkdocs-simple-hooks,aklajnert/mkdocs-simple-hooks,mkdocs-simple-hooks,['plugin'],,nav-pages,,{},,,,,,,,,,,,,,6.0,https://pypi.org/project/mkdocs-simple-hooks,5,True,2.0,,2342.0,2342.0,,,,,,,,,,,,,,,
75,mkdocs-categories-plugin,categories,eddyluten/mkdocs-categories-plugin,mkdocs-categories-plugin,['plugin'],,nav-pages,,{},,,,,,,,,,,,,,,https://pypi.org/project/mkdocs-categories-plugin,5,True,2.0,,24.0,24.0,1803.0,1803.0,,,,,,,,,,,,,
76,mkdocs-with-pdf,with-pdf,orzih/mkdocs-with-pdf,mkdocs-with-pdf,['plugin'],,site-conversion,,{},,,,,,,,,,,,,,6.0,https://pypi.org/project/mkdocs-with-pdf,5,True,2.0,,936.0,936.0,,,,,,,,,,,,,,,
77,pdf-export,pdf-export,zhaoterryy/mkdocs-pdf-export-plugin,mkdocs-pdf-export-plugin,['plugin'],,site-conversion,,{},,,,,,,,,,,,,,12.0,https://pypi.org/project/mkdocs-pdf-export-plugin,5,True,2.0,,1537.0,1537.0,,,,,,,,,,,,,,,
78,monorepo,monorepo,backstage/mkdocs-monorepo-plugin,mkdocs-monorepo-plugin,['plugin'],,site-management,,{},,,,,,,,,,,,,,32.0,https://pypi.org/project/mkdocs-monorepo-plugin,5,True,2.0,,699.0,699.0,,,,,,,,,,,,,,,
79,no-sitemap,no-sitemap,leonardehrenfried/mkdocs-no-sitemap-plugin,mkdocs-no-sitemap-plugin,['plugin'],,site-management,,{},,,,,,,,,,,,,,2.0,https://pypi.org/project/mkdocs-no-sitemap-plugin,5,True,2.0,,58.0,58.0,2218.0,2218.0,,,,,,,,,,,,,
80,techdocs-core,techdocs-core,backstage/mkdocs-techdocs-core,mkdocs-techdocs-core,['plugin'],,site-management,,{},,,,,,,,,,,,,,51.0,https://pypi.org/project/mkdocs-techdocs-core,5,True,2.0,,226.0,226.0,,,,,,,,,,,,,,,
81,Mdx Include,,neurobin/mdx_include,mdx-include,['markdown'],,snippets-include,,{},,,,,,,,,,,,,,3.0,https://pypi.org/project/mdx-include,5,True,3.0,,,,85081.0,85081.0,mdx_include,,,,,,,,,,,,
82,GitBook,,,mkdocs-gitbook,['theme'],,theming,,https://gitlab.com/lramage/mkdocs-gitbook-theme,2018-12-17 18:29:14,2018-12-17 18:29:14.000000,,,15.0,,9.0,10.0,30.0,,,0.0,Default theme for GitBook for Mkdocs https://lramage.gitlab.io/mkdocs-gitbook-theme.,,https://pypi.org/project/mkdocs-gitbook,4,True,2.0,,,,,,,,gitbook,,,lramage/mkdocs-gitbook-theme,https://gitlab.com/lramage/mkdocs-gitbook-theme,,,,,,
83,MkDocs Img2Fig Plugin,img2fig,stuebersystems/mkdocs-img2fig-plugin,mkdocs-img2fig-plugin,['plugin'],MIT,charts,https://github.com/stuebersystems/mkdocs-img2fig-plugin,https://github.com/stuebersystems/mkdocs-img2fig-plugin,2019-05-09 09:48:11,2022-04-15 06:05:55.000000,2020-07-14 09:36:02,8.0,6.0,3.0,2.0,1.0,23.0,,,,A MkDocs plugin that converts markdown encoded images into figure elements.,2.0,https://pypi.org/project/mkdocs-img2fig-plugin,4,True,2.0,1.0,,,,,,,,,,,,,,,,,
84,MkDocsOAD,"['neoteroi.mkdocsoad', 'neoteroi.contribs']",Neoteroi/mkdocs-plugins,neoteroi-mkdocs,"['plugin', 'markdown']",,api-docs,,{},,,,,,,,,,,,,Plugin for MkDocs to generate human readable documentation from OpenAPI Documentation Version 3 (also known as Swagger..,13.0,https://pypi.org/project/neoteroi-mkdocs,4,True,2.0,,533.0,533.0,,,"['neoteroi.cards', 'neoteroi.timeline', 'neoteroi.projects', 'neoteroi.spantable']",,,,,,,,,,,,
85,mkdocs-typer,,bruce-szalwinski/mkdocs-typer,mkdocs-typer,['markdown'],,api-docs,,{},,,,,,,,,,,,,,,https://pypi.org/project/mkdocs-typer,4,True,2.0,,,,13719.0,13719.0,mkdocs-typer,,,,,,,,,,,,
86,mkdocs-material-adr,mkdocs-material-adr/adr,Kl0ven/mkdocs-material-adr,mkdocs-material-adr,['plugin'],,api-docs,,{},,,,,,,,,,,,,,2.0,https://pypi.org/project/mkdocs-material-adr,4,True,2.0,,12.0,12.0,4735.0,4735.0,,,,,,,,,,,,,
87,Blogs for MkDocs,blog,fmaida/mkdocs-blog-plugin,mkdocs-blog-plugin,['plugin'],,blogging,,{},,,,,,,,,,,,,,,https://pypi.org/project/mkdocs-blog-plugin,4,True,2.0,,228.0,228.0,,,,,,,['mkdocs_plugin'],,,,,,,,
88,mkdocs-blogging-plugin,blogging,liang2kl/mkdocs-blogging-plugin,mkdocs-blogging-plugin,['plugin'],,blogging,,{},,,,,,,,,,,,,,7.0,https://pypi.org/project/mkdocs-blogging-plugin,4,True,2.0,,322.0,322.0,,,,,,,,,,,,,,,
89,charts,charts,timvink/mkdocs-charts-plugin,mkdocs-charts-plugin,['plugin'],,charts,,{},,,,,,,,,,,,,,5.0,https://pypi.org/project/mkdocs-charts-plugin,4,True,2.0,,,,18620.0,18620.0,,,,,,,,,,,,,
90,mkdocs-resize-images,resize-images,JakubAndrysek/mkdocs-resize-images,mkdocs-resize-images,['plugin'],,charts,,{},,,,,,,,,,,,,,,https://pypi.org/project/mkdocs-resize-images,4,True,2.0,,13.0,13.0,443.0,443.0,,,,,,,,,,,,,
91,oEmbedPy,oembedpy,attakei/oEmbedPy,oEmbedPy,['plugin'],,charts,,https://oembedpy.readthedocs.io/en/stable/integrations/mkdocs/,,,,,,,,,,,,,MkDocs plugin to render rich contents from URL by oEmbed API.,2.0,https://pypi.org/project/oEmbedPy,4,True,2.0,,17.0,17.0,769.0,769.0,,,,,,,,,,,,,
92,mknotebooks,mknotebooks,greenape/mknotebooks,mknotebooks,['plugin'],,code-exec-templating,,{},,,,,,,,,,,,,,14.0,https://pypi.org/project/mknotebooks,4,True,3.0,,808.0,808.0,,,,,,,,,,,,,,,
93,user-defined-values,user-defined-values,rahult/mkdocs-user-defined-values,mkdocs-user-defined-values,['plugin'],MIT,code-exec-templating,,{},,,,,,,,,,,,,,3.0,https://pypi.org/project/mkdocs-user-defined-values,4,True,3.0,,15.0,15.0,,,,,,,,,,,,,,,
94,mkdocs_protobuf,mkdocs_protobuf,rymurr/mkdocs-protobuf,mkdocs-protobuf,['plugin'],Apache-2,code-exec-templating,,{},,,,,,,,,,,,,Mkdocs plugin to render protobuf messages.,2.0,https://pypi.org/project/mkdocs-protobuf,4,True,3.0,,,,1215.0,1215.0,,,,,,,,,,,,,
95,Termynal,termynal,termynal/termynal.py,termynal,['plugin'],,code-exec-templating,,{},,,,,,,,,,,,,,8.0,https://pypi.org/project/termynal,4,True,3.0,,,,26863.0,26863.0,,,,,,,,,,,,,
96,mkdocs-marimo,marimo,marimo-team/mkdocs-marimo,mkdocs-marimo,['plugin'],Apache-2,code-exec-templating,,{},,,,,,,,,,,,,,8.0,https://pypi.org/project/mkdocs-marimo,4,True,3.0,,15.0,15.0,,,,,,,,,,,,,,,
97,branchcustomization,branchcustomization,effigies/mkdocs-branchcustomization-plugin,mkdocs-branchcustomization-plugin,['plugin'],,git-info,,{},,,,,,,,,,,,,,,https://pypi.org/project/mkdocs-branchcustomization-plugin,4,True,3.0,,28.0,28.0,635.0,635.0,,,,,,,,,,,,,
98,mkdocs-git-latest-changes-plugin,git-latest-changes,tombreit/mkdocs-git-latest-changes-plugin,mkdocs-git-latest-changes-plugin,['plugin'],,git-info,,{},,,,,,,,,,,,,,4.0,https://pypi.org/project/mkdocs-git-latest-changes-plugin,4,True,3.0,,8.0,8.0,7705.0,7705.0,,,,-10.0,,,,,,,,,
99,enumerate-headings,enumerate-headings,timvink/mkdocs-enumerate-headings-plugin,mkdocs-enumerate-headings-plugin,['plugin'],,html-css,,{},,,,,,,,,,,,,,6.0,https://pypi.org/project/mkdocs-enumerate-headings-plugin,4,True,2.0,,399.0,399.0,,,,,,,,,,,,,,,
100,MkDocs Swagger UI Tag,swagger-ui-tag,blueswen/mkdocs-swagger-ui-tag,mkdocs-swagger-ui-tag,['plugin'],,integrations,,{},,,,,,,,,,,,,,10.0,https://pypi.org/project/mkdocs-swagger-ui-tag,4,True,2.0,,457.0,457.0,,,,,,,,,,,,,,,
101,MkDocs asciinema-player,asciinema-player,pa-decarvalho/mkdocs-asciinema-player,mkdocs-asciinema-player,['plugin'],,integrations,,{},,,,,,,,,,,,,,7.0,https://pypi.org/project/mkdocs-asciinema-player,4,True,2.0,,23.0,23.0,1026.0,1026.0,,,,,,,,,,,,,
