,name,mkdocs_plugin,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,mkdocs_theme,extra_dependencies,trending,license,markdown_extension,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,pypi,bitbucket_id
57,mkdocs-llmstxt,llmstxt,pawamoy/mkdocs-llmstxt,mkdocs-llmstxt,['plugin'],integrations,{},630.0,630.0,5.0,https://pypi.org/project/mkdocs-llmstxt,,,,4,True,2.0,,,,,,,,,,,,,,,,,,,,,
58,autolinks,autolinks,zachhannum/mkdocs-autolinks-plugin,mkdocs-autolinks-plugin,['plugin'],links-refs,{},731.0,731.0,10.0,https://pypi.org/project/mkdocs-autolinks-plugin,,,,4,True,1.0,,,,,,,,,,,,,,,,,,,,,
59,htmlproofer,htmlproofer,manuzhang/mkdocs-htmlproofer-plugin,mkdocs-htmlproofer-plugin,['plugin'],links-refs,{},739.0,739.0,16.0,https://pypi.org/project/mkdocs-htmlproofer-plugin,,,,4,True,1.0,,,,,,,,,,,,,,,,,,,,,
60,Markdown PyCon,,pawamoy/markdown-pycon,,['markdown'],markdown,{},11.0,11.0,,,,,,4,True,2.0,,,,ISC,pycon,,,,,,,,,,,,,,,,
61,awesome-nav,awesome-nav,lukasgeiter/mkdocs-awesome-nav,mkdocs-awesome-nav,['plugin'],nav-pages,{},678.0,678.0,12.0,https://pypi.org/project/mkdocs-awesome-nav,,,,4,True,2.0,,,,,,,,,,,,,,,,,,,,,
62,markdown-docs,,ldeluigi/markdown-docs,,['project'],site-management,{},111.0,111.0,6.0,,,,Generates documentation based on Markdown files and PlantUML syntax.,4,True,2.0,,,,,,,,,,,,,,2026-08-01 08:45:49.893230,,deloo/markdown-docs,https://hub.docker.com/r/deloo/markdown-docs,2026-08-01 08:45:49.893230,49634.0,,
63,mkdocs-multirepo-plugin,multirepo,jdoiro3/mkdocs-multirepo-plugin,mkdocs-multirepo-plugin,['plugin'],site-management,{},262.0,262.0,17.0,https://pypi.org/project/mkdocs-multirepo-plugin,,,,4,True,2.0,,,,,,,,,,,,,,,,,,,,,
64,same-dir,same-dir,oprypin/mkdocs-same-dir,mkdocs-same-dir,['plugin'],site-management,{},571.0,571.0,3.0,https://pypi.org/project/mkdocs-same-dir,,,,4,True,2.0,,,-10.0,,,,,,,,,,,,,,,,,,
65,codeinclude,codeinclude,rnorth/mkdocs-codeinclude-plugin,mkdocs-codeinclude-plugin,['plugin'],snippets-include,{},198.0,198.0,5.0,https://pypi.org/project/mkdocs-codeinclude-plugin,,,A plugin to include code snippets into mkdocs pages.,4,True,3.0,,,,,,,,,,,,,,,,,,,,,
66,markdown-katex,,,markdown-katex,['markdown'],markdown,https://gitlab.com/mbarkhau/markdown-katex,,,,https://pypi.org/project/markdown-katex,,,KaTeX extension for Python Markdown.,3,True,2.0,,,,,markdown_katex,mbarkhau/markdown-katex,https://gitlab.com/mbarkhau/markdown-katex,2019-05-14 07:53:31,4.0,4.0,13.0,11.0,0.0,2019-05-14 07:53:31.000000,,,,,,,
