,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,license,markdown_extension,trending,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,pypi,bitbucket_id
18,MkApi,,mkapi,,daizutabi/mkapi,mkapi,['plugin'],api-docs,{},269.0,269.0,6.0,https://pypi.org/project/mkapi,12130.0,12130.0,,8,True,1.0,,,,,,,,,,,,,,,,,,,
19,mkdocstrings-python,,,,mkdocstrings/python,mkdocstrings-python,,api-docs,{},,,30.0,https://pypi.org/project/mkdocstrings-python,11888158.0,11888158.0,,8,True,1.0,,,,,,,,,,,,,,,,,,,
20,meta-manager,,meta-manager,,timmeinerzhagen/mkdocs-meta-manager,mkdocs-meta-manager,['plugin'],code-exec-templating,{},22.0,22.0,3.0,https://pypi.org/project/mkdocs-meta-manager,922631.0,922631.0,,8,True,2.0,,,,,,,,,,,,,,,,,,,
21,mkdocs-coverage,,coverage,,pawamoy/mkdocs-coverage,mkdocs-coverage,['plugin'],integrations,{},367.0,367.0,2.0,https://pypi.org/project/mkdocs-coverage,75440.0,75440.0,,8,True,1.0,,,-10.0,,,,,,,,,,,,,,,,
22,autolinks,,autolinks,,zachhannum/mkdocs-autolinks-plugin,mkdocs-autolinks-plugin,['plugin'],links-refs,{},733.0,733.0,10.0,https://pypi.org/project/mkdocs-autolinks-plugin,57856.0,57856.0,,8,True,1.0,,,,,,,,,,,,,,,,,,,
23,PyMdown Extensions,,,,facelessuser/pymdown-extensions,pymdown-extensions,['markdown'],markdown,{},62550.0,62550.0,56.0,https://pypi.org/project/pymdown-extensions,,,,8,True,1.0,,"['pymdownx.arithmatex', 'pymdownx.b64', 'pymdownx.betterem', 'pymdownx.blocks.admonition', 'pymdownx.blocks.definition', 'pymdownx.blocks.details', 'pymdownx.blocks.html', 'pymdownx.blocks.tab', 'pymdownx.caret', 'pymdownx.critic', 'pymdownx.details', 'pymdownx.emoji', 'pymdownx.escapeall', 'pymdownx.extra', 'pymdownx.highlight', 'pymdownx.inlinehilite', 'pymdownx.keys', 'pymdownx.magiclink', 'pymdownx.mark', 'pymdownx.pathconverter', 'pymdownx.progressbar', 'pymdownx.saneheaders', 'pymdownx.smartsymbols', 'pymdownx.snippets', 'pymdownx.striphtml', 'pymdownx.superfences', 'pymdownx.tabbed', 'pymdownx.tasklist', 'pymdownx.tilde']",,,,,,,,,,,,,,,,,
24,mkdocs-spellcheck,,spellcheck,,pawamoy/mkdocs-spellcheck,mkdocs-spellcheck,['plugin'],quality,{},89.0,89.0,7.0,https://pypi.org/project/mkdocs-spellcheck,87955.0,87955.0,,8,True,1.0,,,,,,,,,,,,,,,,,,,
25,mkdocs_puml,,plantuml,,MikhailKravets/mkdocs_puml,mkdocs-puml,['plugin'],charts,{},81.0,81.0,10.0,https://pypi.org/project/mkdocs-puml,52800.0,52800.0,,7,True,1.0,,,,,,,,,,,,,,,,,,,
26,build-plantuml,,build_plantuml,,quantorconsulting/mkdocs_build_plantuml,mkdocs-build-plantuml-plugin,['plugin'],charts,{},147.0,147.0,14.0,https://pypi.org/project/mkdocs-build-plantuml-plugin,29188.0,29188.0,,7,True,1.0,,,,,,,,,,,,,,,,,,,
27,mkdocs-jupyter,,mkdocs-jupyter,,danielfrg/mkdocs-jupyter,mkdocs-jupyter,['plugin'],code-exec-templating,{},5336.0,5336.0,39.0,https://pypi.org/project/mkdocs-jupyter,,,,7,True,2.0,,,,,,,,,,,,,,,,,,,
